Channel SKU,Part. No.,Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency
TPSECE-AA-AA,TPSECE-AA,Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,100,250,Trellix Phishing Sim 1:1TE,33.36,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSECE-AA-BA,TPSECE-AA,Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Trellix Phishing Sim 1:1TE,28.35,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSECE-AA-CA,TPSECE-AA,Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Trellix Phishing Sim 1:1TE,24.11,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSECE-AA-DA,TPSECE-AA,Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Trellix Phishing Sim 1:1TE,21.68,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSECE-AA-EA,TPSECE-AA,Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Trellix Phishing Sim 1:1TE,19.52,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSECE-AA-FA,TPSECE-AA,Trellix Email Security,Email Security,TPS,Trellix Phishing Simulator,Add On Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Trellix Phishing Sim 1:1TE,17.57,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDECE-AA-AA,ACDECE-AA,Trellix Endpoint Security,File & Application Control,ACD-S,Trellix Application Control for PCs - Subscription,Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,5,250,Trellix App Control PCs 1:1TE,100.67,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDECE-AA-BA,ACDECE-AA,Trellix Endpoint Security,File & Application Control,ACD-S,Trellix Application Control for PCs - Subscription,Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Trellix App Control PCs 1:1TE,95.25,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDECE-AA-CA,ACDECE-AA,Trellix Endpoint Security,File & Application Control,ACD-S,Trellix Application Control for PCs - Subscription,Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Trellix App Control PCs 1:1TE,79.33,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDECE-AA-DA,ACDECE-AA,Trellix Endpoint Security,File & Application Control,ACD-S,Trellix Application Control for PCs - Subscription,Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Trellix App Control PCs 1:1TE,59.53,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
