Unnamed: 0,Unnamed: 1,Unnamed: 2
,,
,Trellix Helix,
,,Helix (SaaS)
,XDR,Helix Connect
,OXDR-50GB-ADDON,Helix Connect Open XDR for External Data Add-on - 50 GB
,OXDR-100GB-ADDON,Helix Connect Open XDR for External Data Add-on - 100 GB
,OXDR-250GB-ADDON,Helix Connect Open XDR for External Data Add-on - 250 GB
,OXDR-1TB-ADDON,Helix Connect Open XDR for External Data Add-on - 1 TB
,OXDR-50GB-10M-ADDON,Helix Connect XDR Retention 10 Months Add-On - 50 GB
,OXDR-100GB-10M-ADDON,Helix Connect XDR Retention 10 Months Add-On - 100 GB
,OXDR-250GB-10M-ADDON,Helix Connect XDR Retention 10 Months Add-On - 250 GB
,OXDR-1TB-10M-ADDON,Helix Connect XDR Retention 10 Months Add-On - 1 TB
,OXDRCS-2YR-50GB-ADDON,Helix Connect 2 Year Cold Storage - 50 GB
,OXDRCS-2YR-100GB-ADDON,Helix Connect 2 Year Cold Storage - 100 GB
,OXDRCS-2YR-250GB-ADDON,Helix Connect 2 Year Cold Storage - 250 GB
,OXDRCS-2YR-1TB-ADDON,Helix Connect 2 Year Cold Storage - 1 TB
,OXDRCS-3YR-50GB-ADDON,Helix Connect 3 Year Cold Storage - 50 GB
,OXDRCS-3YR-100GB-ADDON,Helix Connect 3 Year Cold Storage - 100 GB
,OXDRCS-3YR-250GB-ADDON,Helix Connect 3 Year Cold Storage - 250 GB
,OXDRCS-3YR-1TB-ADDON,Helix Connect 3 Year Cold Storage - 1 TB
,XDRQS8-50GB-ADDON,Helix Connect 8 Day Index Search Retention - 50 GB
,XDRQS8-100GB-ADDON,Helix Connect 8 Day Index Search Retention - 100 GB
,XDRQS8-250GB-ADDON,Helix Connect 8 Day Index Search Retention - 250 GB
,XDRQS8-1TB-ADDON,Helix Connect 8 Day Index Search Retention - 1 TB
,XDRQS16-50GB-ADDON,Helix Connect 16 Day Index Search Retention - 50 GB
,XDRQS16-100GB-ADDON,Helix Connect 16 Day Index Search Retention - 100 GB
,XDRQS16-250GB-ADDON,Helix Connect 16 Day Index Search Retention - 250 GB
,XDRQS16-1TB-ADDON,Helix Connect 16 Day Index Search Retention - 1 TB
,XDR-FS-T,XDR Federated Search across Cloud Instances (T)
,,Helix (On-Prem)
,TAR-T,Trellix Automated Response (TAuR) or Automated Response(T)
,NW-EC-VA-T,Network Evidence Collector - Virtual Appliance Add-on for Helix Connect (T)
,NW-EC-VA-DTI-T,Network Evidence Collector - Virtual Appliance for Helix Connect - DTI(T)
,,
,Trellix Email Security,
,,Email Security
,EMCL,Email Security Cloud Edition
,EMCA,Email Security Cloud AntiVirus/AntiSpam Edition
,EMCAU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade
,TPS,Trellix Phishing Simulator
,EMCLVX,Email Security for Office 365
,,Hermes Email Subscriptions
,EMUSE-T,Email Security Server Edition(T)
,,Hermes Email Virtual Appliance Deployment Options
,EM-VA-T,Email Security Sensor Virtual(T)
,EM2500-VA-T,Email Security Virtual 16 Core Appliance(T)
,EM2500-VA-32-T,Email Security Virtual 32 Core Appliance(T)
,EM2500-VA-48-T,Email Security Virtual 48 Core Appliance(T)
,EM2500-VA-64-T,Email Security Virtual 64 Core Appliance(T)
,EM7700-BM-VA-T,Email Security 7700 BareMetal Virtual Appliance(T)
,,Hermes Email Hardware Appliance Deployment Options
,EM3600-T,EM 3600 Appliance(T)
,EM5600-T,EM 5600 Appliance(T)
,EM8600-T,EM 8600 Appliance(T)
,,
,Trellix Endpoint Security,
,,Device to Cloud Defense (SaaS Only)
,MVA,Trellix Advanced
,MVAU,Trellix Advanced - Upgrade
,MVP,Trellix Premium
,MVPU,Trellix Premium - Upgrade
,,Protection and EDR (SaaS & On-Premise)
,MDR1,Managed Detection & Response Service 1
,TRXHX,Trellix Advanced Endpoint Security with Forensics
,TRXHXU,Trellix Advanced Endpoint Security with Forensics - Upgrade
,TRXE1,Trellix Endpoint Security Suite
,TRXE1U,Trellix Endpoint Security Suite - Upgrade
,SS4,Trellix Secure Schools Endpoint Security Suite
,SS4U,Trellix Secure Schools Endpoint Security Suite - UPGRADE
,MV6,Trellix Protect Plus EDR for Endpoint
