Channel SKU,New MSRP,Old MSRP,Price Book Tab
MDR1ECE-AAAA,174.95,Call For Quote,Trellix Endpoint Security
MDR1ECE-AABA,130.75,Call For Quote,Trellix Endpoint Security
MDR1ECE-AACA,100.55,Call For Quote,Trellix Endpoint Security
MDR1ECE-AADA,75.0,Call For Quote,Trellix Endpoint Security
MDR1ECE-AAEA,64.55,Call For Quote,Trellix Endpoint Security
MDR1ECE-AAFA,56.77,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-AA-AA,349.88,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-AA-BA,269.37,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-AA-CA,208.29,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-AA-DA,153.39,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-AA-EA,131.29,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-AA-FA,117.94,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-AA-AA,384.88,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-AA-BA,296.3,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-AA-CA,229.12,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-AA-DA,168.74,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-AA-EA,144.43,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-AA-FA,129.72,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-AA-AA,402.37,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-AA-BA,309.78,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-AA-CA,239.53,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-AA-DA,176.4,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-AA-EA,151.0,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-AA-FA,135.62,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-DA-AA,349.88,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-DA-BA,269.37,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-DA-CA,208.29,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-DA-DA,153.39,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-DA-EA,131.29,Call For Quote,Trellix Endpoint Security
TRXE1M12WECE-DA-FA,117.94,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-DA-AA,384.88,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-DA-BA,296.3,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-DA-CA,229.12,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-DA-DA,168.74,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-DA-EA,144.43,Call For Quote,Trellix Endpoint Security
TRXE1M11WECE-DA-FA,129.72,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-DA-AA,402.37,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-DA-BA,309.78,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-DA-CA,239.53,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-DA-DA,176.4,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-DA-EA,151.0,Call For Quote,Trellix Endpoint Security
TRXE1M1OFECE-DA-FA,135.62,Call For Quote,Trellix Endpoint Security
TRXE1M12WDEE-AA-AA,402.37,Call For Quote,Trellix EU_DE Data Center
TRXE1M12WDEE-AA-BA,309.78,Call For Quote,Trellix EU_DE Data Center
TRXE1M12WDEE-AA-CA,239.53,Call For Quote,Trellix EU_DE Data Center
TRXE1M12WDEE-AA-DA,176.4,Call For Quote,Trellix EU_DE Data Center
TRXE1M12WDEE-AA-EA,151.0,Call For Quote,Trellix EU_DE Data Center
TRXE1M12WDEE-AA-FA,135.62,Call For Quote,Trellix EU_DE Data Center
TRXE1M11WDEE-AA-AA,442.62,Call For Quote,Trellix EU_DE Data Center
TRXE1M11WDEE-AA-BA,340.76,Call For Quote,Trellix EU_DE Data Center
TRXE1M11WDEE-AA-CA,263.5,Call For Quote,Trellix EU_DE Data Center
TRXE1M11WDEE-AA-DA,194.05,Call For Quote,Trellix EU_DE Data Center
TRXE1M11WDEE-AA-EA,166.09,Call For Quote,Trellix EU_DE Data Center
TRXE1M11WDEE-AA-FA,149.18,Call For Quote,Trellix EU_DE Data Center
TRXE1M1OFDEE-AA-AA,462.72,Call For Quote,Trellix EU_DE Data Center
TRXE1M1OFDEE-AA-BA,356.25,Call For Quote,Trellix EU_DE Data Center
TRXE1M1OFDEE-AA-CA,275.47,Call For Quote,Trellix EU_DE Data Center
TRXE1M1OFDEE-AA-DA,202.85,Call For Quote,Trellix EU_DE Data Center
