Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,Part. No.,Channel SKU,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency,Product Type
Trellix Helix,Helix (SaaS),XDR,Helix Connect,Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,100,250,Helix Connect 1:1TE,XDRECE-AA,XDRECE-AA-AA,113.52,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDR,Helix Connect,Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Helix Connect 1:1TE,XDRECE-AA,XDRECE-AA-BA,102.17,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDR,Helix Connect,Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Helix Connect 1:1TE,XDRECE-AA,XDRECE-AA-CA,91.95,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDR,Helix Connect,Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Helix Connect 1:1TE,XDRECE-AA,XDRECE-AA-DA,82.77,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDR,Helix Connect,Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Helix Connect 1:1TE,XDRECE-AA,XDRECE-AA-EA,74.5,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),XDR,Helix Connect,Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Helix Connect 1:1TE,XDRECE-AA,XDRECE-AA-FA,67.02,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDR-50GB-ADDON,Helix Connect Open XDR for External Data Add-on - 50 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix Con OpenXDR ExtDta 50GB AO 1:1TE,OX1ECE-AA,OX1ECE-AA-AA,39590.64,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDR-100GB-ADDON,Helix Connect Open XDR for External Data Add-on - 100 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix ConOpenXDR ExtDta 100GB AddOn1:1TE,OX2ECE-AA,OX2ECE-AA-AA,79181.28,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDR-250GB-ADDON,Helix Connect Open XDR for External Data Add-on - 250 GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix ConOpn XDR ExtDta 250GB AddOn1:1TE,OX3ECE-AA,OX3ECE-AA-AA,197953.19,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
Trellix Helix,Helix (SaaS),OXDR-1TB-ADDON,Helix Connect Open XDR for External Data Add-on - 1 TB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Helix ConOpn XDR Ext Dta 1TB AddOn 1:1TE,OX4ECE-AA,OX4ECE-AA-AA,791812.74,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,XDR
