Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Secure Web Gateway
,Security Service Edge,,,,MVW-DE,Skyhigh SWG (Germany Data Center)
UCEB-DE,Skyhigh SSE Essential (Germany Data Center),,,,MVW-U-DE,Skyhigh SWG - Upgrade (Germany Data Center)
UCEB-U1-DE,Skyhigh SSE - Shadow IT Upgrade (Germany Data Center),,,,MVW-ADV-DE,Skyhigh SWG Advanced (Germany Data Center)
UCEB-U2-DE,Skyhigh SSE - Web Hybrid Upgrade (Germany Data Center),,,,,Zero Trust Network Access
UCEB-U3-DE,Skyhigh SSE - Web Gateway Upgrade (Germany Data Center),,,,MPA-DE,Skyhigh Private Access (Germany Data Center)
UCEA-DE,Skyhigh SSE Advanced (Germany Data Center),,,,,Skyhigh Private Access Promotion
UCEA-U-DE,Skyhigh SSE Advanced - Upgrade (Germany Data Center),,,,MPA-PROMO DE,Skyhigh Private Access Promo MPA  (Germany Data Center)
UCEA-U1-DE,Skyhigh CASB SaaS Unlimited - Skyhigh SSE Advanced Upgrade (Germany Data Center),,,,,Cloud Native Application Protection Platform
UCEC-DE,Skyhigh SSE Complete (Germany Data Center),,,,C42-DE,Skyhigh CNAPP - CSPM Account Pooled (Germany Data Center)
SSEFW-DE,Skyhigh SSE Cloud Firewall (Germany Data Center),,,,C61-DE,Skyhigh CNAPP - CSPM Resource Pooled (Germany Data Center)
SSEFWB-DE,Skyhigh SSE Essential + Skyhigh SSE Cloud Firewall (Germany Data Center),,,,,Add-Ons
SSEFWB-U-DE,Skyhigh SSE Essential + Skyhigh SSE Cloud Firewall  (Germany Data Center) Upgrade,,,,SSE-LSA-DE,Skyhigh Log Stream AddOn (Germany Data Center)
,CASB: Shadow IT,,,,LFPDLP-DE,Skyhigh Large File Processing Add-On (Germany Data Center)
C02-DE,Skyhigh CASB for Shadow IT (Germany Data Center),,,,ADVDLP-DE,Skyhigh Advanced DLP Add On (Germany Data Center)
,CASB: SaaS,,,,ADVDLP-PROMO-DE,Skyhigh Advanced DLP Promo C64 (Germany Data Center)
C63-DE,Skyhigh CASB for SaaS Unlimited (Germany Data Center),,,,UCEMEPO-DE,Trellix ePO-SaaS for SSE - AddOn (Germany Data Center)
C41-DE,Skyhigh CASB for SaaS Pooled (Germany Data Center),,,,UCEFI-DE,Skyhigh Remote Browser Isolation (RBI) Advanced - AddOn (Germany Data Center)
C63-U-DE,Skyhigh CASB SaaS Pooled - Skyhigh CASB SaaS Unlimited Upgrade (Germany Data Center),,,,RP-RBI-DE,Skyhigh Cloud App Isolation - Unmanaged AddOn (Germany Data Center)
,CASB: Office 365,,,,OCRUCE-S-DE,Skyhigh Secure Edge OCR - AddOn (Germany Data Center)
C09-DE,Skyhigh CASB for Office 365 Mail (Germany Data Center),,,,C55-DE,Skyhigh CASB SaaS Malware Add On (Germany Data Center)
C10-DE,Skyhigh CASB for Office 365 SharePoint and OneDrive (Germany Data Center),,,,C43-DE,Skyhigh CNAPP - DLP and Malware Pooled (Germany Data Center)
C12-DE,Skyhigh CASB for Microsoft Office O365 Mail / SharePoint and OneDrive (Germany Data Center),,,,C30-DE,Skyhigh CASB Sanctioned Data Retention AddOn (Germany Data Center)
C13-DE,Skyhigh CASB for Shadow IT / Office 365 Mail / SharePoint and OneDrive (Germany Data Center),,,,UCEDR-DE,Skyhigh SSE Data Retention - AddOn (Germany Data Center)
C50-DE,Skyhigh CASB for Office 365 Teams (Germany Data Center),,,,SSE-SWGDT-SILVER-DE,Skyhigh SSE Additional Bandwidth - Add-On Silver for SWG services (Germany Data Center)
C51-DE,Skyhigh CASB for Office 365 Mail / SharePoint and OneDrive / Teams (Germany Data Center),,,,SSE-SWGDT-GOLD-DE,Skyhigh SSE Additional Bandwidth - Add-On Gold for SWG services (Germany Data Center)
C52-DE,Skyhigh CASB for Shadow IT / Office 365 Mail / SharePoint and OneDrive / Teams (Germany Data Center),,,,SSE-SWGDT-GOLD-UPG-DE,Skyhigh SSE Additional Bandwidth - Addon Silver to Gold Upgrade (Germany Data Center)
,RP-RBI (Managed),,,,SSE-DEIP-DE,Skyhigh SSE Dedicated Egress IP - Addon (Germany Data Center)
RP-RBI-MANAGED-DE,Skyhigh Cloud App Isolation (Germany Data Center),,,,C04-DE,Skyhigh CASB for Salesforce Sales Cloud - Encryption (Germany Data Center)
,,,,,C06-DE,Skyhigh CASB for Salesforce Service Cloud - Encryption (Germany Data Center)
,,,,,C08-DE,Skyhigh CASB for ServiceNow - Encryption (Germany Data Center)
,,,,,C65-DE,Skyhigh SaaS Unlimited (Inline) - Addon (Germany Data Center)
"Skyhigh DE Data Center
Skyhigh Security SKUs are limited to Skyhigh Security Authorized Distributors Only.",,,,,,
,Security Service Edge,,,,,
UCEB-DE,"Skyhigh SSE Essential (Germany Data Center)
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT:  CASB Shadow, SWG Cloud Service as integrated services and Skyhigh SWG Software, Remote Browser Isolation for risky sites, Cloud DLP, Gateway Anti-Malware. In addition it includes access to Client Proxy and Content Security Reporter via ePO (On-Prem) and Hybrid configuration.
Post Q1, 2024, SWG Software license contractually restricts its use on Virtual Machines in a production environment. This license can only be used in a test or development environment - (upto 5 MAX VMs with a max core of 4 CPUs per instance). For production usage on Virtual machines, SWG Software subscription license (Skyhigh SWG Software VM Deployment Extension - Subscription) to be purchased in addition to SWG Software License (WSG-S, MVW-DE, MVW-ADV-DE, UCEB-DE, UCEA-DE,UCEC-DE, UCEB-U1-DE, UCEB-U2-DE, UCEB-U3-DE, UCEA-U-DE, UCEA-U1-DE)",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE Essentials (DE) 1:1BZ,UCBDEE-AA,137.76,UCBDEE-AA-AA,
B,251-1000,Skyhigh SSE Essentials (DE) 1:1BZ,UCBDEE-AA,123.02,UCBDEE-AA-BA,
C,1001-2000,Skyhigh SSE Essentials (DE) 1:1BZ,UCBDEE-AA,111.82,UCBDEE-AA-CA,
D,2001-5000,Skyhigh SSE Essentials (DE) 1:1BZ,UCBDEE-AA,104.52,UCBDEE-AA-DA,
E,5001-10000,Skyhigh SSE Essentials (DE) 1:1BZ,UCBDEE-AA,98.6,UCBDEE-AA-EA,
F,10001-+,Skyhigh SSE Essentials (DE) 1:1BZ,UCBDEE-AA,95.71,UCBDEE-AA-FA,
UCEB-U1-DE,"Skyhigh SSE - Shadow IT Upgrade (Germany Data Center)
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT:  Shadow customers (Skyhigh CASB for Shadow IT) should use this SKU to upgrade to SSE Essentials
REQUIREMENTS: This Upgrade SKU/pricing can only be used for existing Shadow IT customers for the remainder of an existing active Subscription Term.  MUST be co-termed to their existing Subscription Term/Grant being upgraded mid-term.  Refer to Standard SKU/pricing for customers buying SSE Essentials instead of renewing an expiring subscription. Please refer to the Product Requirements for additional information",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE - Shadow IT UPG (DE) 1:1BZ,UB1DEE-DA,71.65,UB1DEE-DA-AA,
B,251-1000,Skyhigh SSE - Shadow IT UPG (DE) 1:1BZ,UB1DEE-DA,63.07,UB1DEE-DA-BA,
C,1001-2000,Skyhigh SSE - Shadow IT UPG (DE) 1:1BZ,UB1DEE-DA,56.75,UB1DEE-DA-CA,
D,2001-5000,Skyhigh SSE - Shadow IT UPG (DE) 1:1BZ,UB1DEE-DA,52.8,UB1DEE-DA-DA,
E,5001-10000,Skyhigh SSE - Shadow IT UPG (DE) 1:1BZ,UB1DEE-DA,49.63,UB1DEE-DA-EA,
F,10001-+,Skyhigh SSE - Shadow IT UPG (DE) 1:1BZ,UB1DEE-DA,48.13,UB1DEE-DA-FA,
UCEB-U2-DE,"Skyhigh SSE - Web Hybrid Upgrade (Germany Data Center)
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT:  Web Hybrid customers (Web Protection Suite) should use this SKU to upgrade from WPS to SSE Essentials
REQUIREMENTS: This Upgrade SKU/pricing can only be used for existing WPS customers for the remainder of an existing active Subscription Term.  MUST be co-termed to their existing Subscription Term/Grant being upgraded mid-term.  Refer to Standard SKU/pricing for customers buying SSE Essentials instead of renewing an expiring subscription. Please refer to the Product Requirements for additional information",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE - Web Hybrid UPG (DE) 1:1BZ,UB2DEE-DA,39.61,UB2DEE-DA-AA,
B,251-1000,Skyhigh SSE - Web Hybrid UPG (DE) 1:1BZ,UB2DEE-DA,34.87,UB2DEE-DA-BA,
C,1001-2000,Skyhigh SSE - Web Hybrid UPG (DE) 1:1BZ,UB2DEE-DA,31.38,UB2DEE-DA-CA,
D,2001-5000,Skyhigh SSE - Web Hybrid UPG (DE) 1:1BZ,UB2DEE-DA,29.17,UB2DEE-DA-DA,
E,5001-10000,Skyhigh SSE - Web Hybrid UPG (DE) 1:1BZ,UB2DEE-DA,27.44,UB2DEE-DA-EA,
F,10001-+,Skyhigh SSE - Web Hybrid UPG (DE) 1:1BZ,UB2DEE-DA,26.61,UB2DEE-DA-FA,
UCEB-U3-DE,"Skyhigh SSE - Web Gateway Upgrade (Germany Data Center)
LICENSE: Per User. 
DELIVERABLE: Activation via email.
PRODUCT CONTENT:  Skyhigh SWG Software customers should use this SKU to upgrade from WSG  to SSE Essentials
REQUIREMENTS: This Upgrade SKU/pricing can only be used for existing WSG customers for the remainder of an existing active Subscription Term.  MUST be co-termed to their existing Subscription Term/Grant being upgraded mid-term.  Refer to Standard SKU/pricing for customers buying SSE Essentials instead of renewing an expiring subscription. Please refer to the Product Requirements for additional information",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE - Web Gateway UPG (DE) 1:1BZ,UB3DEE-DA,127.71,UB3DEE-DA-AA,
B,251-1000,Skyhigh SSE - Web Gateway UPG (DE) 1:1BZ,UB3DEE-DA,112.36,UB3DEE-DA-BA,
C,1001-2000,Skyhigh SSE - Web Gateway UPG (DE) 1:1BZ,UB3DEE-DA,101.12,UB3DEE-DA-CA,
D,2001-5000,Skyhigh SSE - Web Gateway UPG (DE) 1:1BZ,UB3DEE-DA,94.06,UB3DEE-DA-DA,
E,5001-10000,Skyhigh SSE - Web Gateway UPG (DE) 1:1BZ,UB3DEE-DA,88.41,UB3DEE-DA-EA,
F,10001-+,Skyhigh SSE - Web Gateway UPG (DE) 1:1BZ,UB3DEE-DA,85.75,UB3DEE-DA-FA,
