Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Legacy - Secure Web Gateway
,CASB: Custom Apps,,,,WG5500-E2,Skyhigh SWG WG5500-E2 Appliance
C28-DE,Skyhigh CASB  for Custom Apps (Germany Data Center),,,,WG5000-E2,Skyhigh SWG WG5000-E2 Appliance
C28,Skyhigh CASB  for Custom Apps,,,,WG4500-E,Skyhigh SWG WG4500-E Appliance
,Legacy - CASB: Business Apps,,,,WG5500-E,Skyhigh SWG WG5500-E Appliance
C03-DE,Skyhigh CASB for Salesforce Sales Cloud (Germany Data Center),,,,WG5500-D,Web Gateway WG5500-D Appliance
C03,Skyhigh CASB for Salesforce Sales Cloud,,,,WG5000-E,Skyhigh SWG WG5000-E Appliance
C05-DE,Skyhigh CASB for Salesforce Service Cloud (Germany Data Center),,,,WG5000-D,Web Gateway WG5000-D Appliance
C05,Skyhigh CASB for Salesforce Service Cloud,,,,WG4500-D,Web Gateway WG4500-D Appliance
C07-DE,Skyhigh CASB for ServiceNow (Germany Data Center),,,,WSG,Skyhigh SWG Software
C07,Skyhigh CASB for ServiceNow,,,,WPS2,Skyhigh Web Protection Suite 2 - WPS2
C39-DE,Skyhigh CASB for Workday (Germany Data Center),,,,WPS2-DE,Skyhigh Web Protection Suite 2 - WPS2  (Germany Data Center)
C39,Skyhigh CASB for Workday,,,,,Legacy - Secure Web Gateway Reverse Proxy Appliances
,Legacy - CASB: Collaboration Apps,,,,WG5500-E-RP,Skyhigh SWG WG5500-E Reverse Proxy Appliance
C14-DE,Skyhigh CASB for Box (Germany Data Center),,,,WG5000-E-RP,Skyhigh SWG WG5000-E Reverse Proxy Appliance
C14,Skyhigh CASB for Box,,,,WG4500-E-RP,Skyhigh SWG WG4500-E Reverse Proxy Appliance
C16-DE,Skyhigh CASB for Dropbox (Germany Data Center),,,,WG5500-D-RP,Web Gateway WG5500-D Reverse Proxy Appliance
C16,Skyhigh CASB for Dropbox,,,,WG5000-D-RP,Web Gateway WG5000-D Reverse Proxy Appliance
C17-DE,Skyhigh CASB for SLACK (Germany Data Center),,,,WG4500-D-RP,Web Gateway WG4500-D Reverse Proxy Appliance
C17,Skyhigh CASB for SLACK,,,,,Legacy - Secure Web Gateway Accessories
C18-DE,Skyhigh CASB for Google Drive (Germany Data Center),,,,PCIE-10GB-FBR-2-LR,Skyhigh 10 Gigabit Fiber PCIe Card - E Model Appliances with Long Range Transceivers
C18,Skyhigh CASB for Google Drive,,,,PCIE-10GB-FBR-2-SR,Skyhigh 10 Gigabit Fiber PCIe Card - E Model Appliances with Short Range Transceivers
C29-DE,Skyhigh CASB for Google Mail (Germany Data Center),,,,PCIE-10GB-FBR-2,10 Gigabit Fiber PCIe Card - E Model Appliances
C29,Skyhigh CASB for Google Mail,,,,PCIE-10GB-FBR-1,10 Gigabit Fiber PCIe Card - D Model Appliances
,,,,,,Legacy - Customer Care Plans
,,,,,CSPLAN-CLDATC-ADDON,Technical Account Manager (TAM-C) Add on for Skyhigh Care Plans
,,,,,,Legacy - Remote Cloud Success
,,,,,MVC-REMOTE-CSM-CATC,SSE Remote CSM and C-ATC
"Skyhigh Legacy
Skyhigh Security SKUs are limited to Skyhigh Security Authorized Distributors Only.",,,,,,
,CASB: Custom Apps,,,,,
C28-DE,"Skyhigh CASB  for Custom Apps (Germany Data Center)
End of Sale is 15th January 2024 End of Life 16th January 2026
LICENSE: Per User.
DELIVERABLE: Welcome email.
PRODUCT CONTENT: A product designed to support security, compliance and governance programs. Customers can map service actions for their custom applications.  Once the service actions are mapped and deployed, enterprises can enforce data loss prevention policies, detect anomalous activity indicative of insider threats and compromised accounts and view audit trail of user activity.
Includes activity monitoring, threat analytics, data loss prevention and access control.",,,,,
,Standard Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,1-+,Skyhigh Custom Apps Other (DE) 1:1 BZ,C28DEE-AA,31.29,C28DEE-AA-AA,
C28,"Skyhigh CASB  for Custom Apps
End of Sale is 15th January 2024 End of Life 16th January 2026
LICENSE: Per User.
DELIVERABLE: Welcome email.
PRODUCT CONTENT: A product designed to support security, compliance and governance programs. Customers can map service actions for their custom applications.  Once the service actions are mapped and deployed, enterprises can enforce data loss prevention policies, detect anomalous activity indicative of insider threats and compromised accounts and view audit trail of user activity.
Includes activity monitoring, threat analytics, data loss prevention and access control.",,,,,
,Standard Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,1-+,Skyhigh Custom Apps Other 1:1 BZ,C28ECE-AA,27.18,C28ECE-AA-AA,
,Legacy - CASB: Business Apps,,,,,
C03-DE,"Skyhigh CASB for Salesforce Sales Cloud (Germany Data Center)
End of Sale is 17th July 2023. Existing customers can renew and expand their subscription quantity but should consider transitioning to Skyhigh for SaaS Pooled [C41] subscriptions
LICENSE: Per User.
DELIVERABLE: Welcome email.
PRODUCT CONTENT: A product designed to support security, compliance and governance programs. Customers can enforce data loss prevention policies, detect anomalous activity indicative of insider threats and compromised accounts, view an audit trail of user activity, enforce access control policies, and use Skyhigh CASB's Bring Your Own Key (BYOK) capabilities with Salesforce Shield Encryption.
Includes activity monitoring, threat analytics, data loss prevention, access control, and Bring Your Own Key (BYOK) capabilities.",,,,,
,Standard Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,1-+,Skyhigh SalesCloud (DE) 1:1 BZ,C03DEE-AA,51.39,C03DEE-AA-AA,
