Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Add-Ons
,,,,,SEBS,Skyhigh Enterprise Browser Security - AddOn
,,,,,SEBS-DE,Skyhigh Enterprise Browser Security - AddOn (Germany Data Center)
"Skyhigh NON GA QUOTES ONLY
Skyhigh Security SKUs are limited to Skyhigh Security Authorized Distributors Only.",,,,,,
,Add-Ons,,,,,
SEBS,"Skyhigh Enterprise Browser Security - AddOn
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT: This product offers Enterprise Browser Security to any type of modern browsers (Bring your own browser) on any type of device (Bring your own device) offering browser-based security controls such as Clickjacking protection, Cookie theft protection, Session jacking protection and DLP controls such as Clipboard protection, Sensitive data masking, Watermarking with user details, Upload/download/login protection.
It is an add-on to MVW, MVW-ADV, MPA, SSEFW, SSEFWB, UCEB, UCEA, UCEC SKUs that is configurable by policy.
PRODUCT REQUIREMENT: This is an add-on SKU. Customer must have an entitlement of MVW, MVW-ADV, MPA, SSEFW, SSEFWB, UCEB, UCEA, UCEC SKUs.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,1-+,Skyhigh Enterprise Brwsr Sec Add-on1:1BZ,SEBECE-AA,Call For Quote,SEBECE-AA-AA,FCS Date 04/03/2025
SEBS-DE,"Skyhigh Enterprise Browser Security - AddOn (Germany Data Center)
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT: This product offers Enterprise Browser Security to any type of modern browsers (Bring your own browser) on any type of device (Bring your own device) offering browser-based security controls such as Clickjacking protection, Cookie theft protection, Session jacking protection and DLP controls such as Clipboard protection, Sensitive data masking, Watermarking with user details, Upload/download/login protection.
It is an add-on to MVW, MVW-ADV, MPA, SSEFW, SSEFWB, UCEB, UCEA, UCEC SKUs that is configurable by policy.
PRODUCT REQUIREMENT: This is an add-on SKU. Customer must have an entitlement of MVW, MVW-ADV, MPA, SSEFW, SSEFWB, UCEB, UCEA, UCEC SKUs.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,1-+,Skyhigh Ent Browser Sec Add-on (DE)1:1BZ,SEBDEE-AA,Call For Quote,SEBDEE-AA-AA,FCS Date 04/03/2025
