Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Secure Web Gateway Reverse Proxy Appliances
,Security Service Edge,,,,WG5500-F-RP,Skyhigh SWG WG5500-F Reverse Proxy Appliance
UCEB,Skyhigh SSE Essential,,,,WG5000-F-RP,Skyhigh SWG WG5000-F Reverse Proxy Appliance
UCEB-U1,Skyhigh SSE - Shadow IT Upgrade,,,,,Zero Trust Network Access
UCEB-U2,Skyhigh SSE - Web Hybrid Upgrade,,,,MPA,Skyhigh Private Access
UCEB-U3,Skyhigh SSE - Web Gateway Upgrade,,,,,Skyhigh Private Access Promotion
UCEA,Skyhigh SSE Advanced,,,,MPA-PROMO,Skyhigh Private Access Promo MPA
UCEA-U,Skyhigh SSE Advanced - Upgrade,,,,,Cloud Native Application Protection Platform
UCEA-U1,Skyhigh CASB SaaS Unlimited - Skyhigh SSE Advanced Upgrade,,,,C42,Skyhigh CNAPP - CSPM Account Pooled
UCEC,Skyhigh SSE Complete,,,,C61,Skyhigh CNAPP - CSPM Resource Pooled
SSEFW,Skyhigh SSE Cloud Firewall,,,,,Add-Ons
SSEFWB,Skyhigh SSE Essential + Skyhigh SSE Cloud Firewall,,,,SSE-LSA,Skyhigh Log Stream AddOn
SSEFWB-U,Skyhigh SSE Essential + Skyhigh SSE Cloud Firewall Upgrade,,,,LFPDLP,Skyhigh Large File Processing Add-On
,CASB: Shadow IT,,,,ADVDLP,Skyhigh Advanced DLP AddOn
C02,Skyhigh CASB for Shadow IT,,,,ADVDLP-PROMO,Skyhigh Advanced DLP Promo C64
,CASB: SaaS,,,,UCEFI,Skyhigh Remote Browser Isolation (RBI) Advanced - AddOn
C63,Skyhigh CASB for SaaS Unlimited,,,,RP-RBI,Skyhigh Cloud App Isolation - Unmanaged AddOn
C41,Skyhigh CASB for SaaS Pooled,,,,OCRUCE-S,Skyhigh Secure Edge OCR - AddOn
C63-U,Skyhigh CASB SaaS Pooled - Skyhigh CASB SaaS Unlimited Upgrade,,,,C55,Skyhigh CASB SaaS Malware Add On
,CASB: Office 365,,,,C43,Skyhigh CNAPP - DLP and Malware Pooled
C09,Skyhigh CASB for Office 365 Mail,,,,C30,Skyhigh CASB Sanctioned Data Retention AddOn
C10,Skyhigh CASB for Office 365 SharePoint and OneDrive,,,,UCEDR,Skyhigh SSE Data Retention - AddOn
C12,Skyhigh CASB for Microsoft Office O365 Mail / SharePoint and OneDrive,,,,SSE-SWGDT-SILVER,Skyhigh SSE Additional Bandwidth - Add-On Silver for SWG services
C13,Skyhigh CASB for Shadow IT / Office 365 Mail / SharePoint and OneDrive,,,,SSE-SWGDT-GOLD,Skyhigh SSE Additional Bandwidth - Add-On Gold for SWG services
C50,Skyhigh CASB for Office 365 Teams,,,,SSE-SWGDT-GOLD-UPG,Skyhigh SSE Additional Bandwidth - Addon Silver to Gold Upgrade
C51,Skyhigh CASB for Office 365 Mail / SharePoint and OneDrive / Teams,,,,SSE-DEIP,Skyhigh SSE Dedicated Egress IP - Addon
C52,Skyhigh CASB for Shadow IT / Office 365 Mail / SharePoint and OneDrive / Teams,,,,C04,Skyhigh CASB for Salesforce Sales Cloud - Encryption
,RP-RBI (Managed),,,,C06,Skyhigh CASB for Salesforce Service Cloud - Encryption
RP-RBI-MANAGED,Skyhigh Cloud App Isolation,,,,C08,Skyhigh CASB for ServiceNow - Encryption
,CASB: Education Institutions,,,,UCEMEPO,Trellix ePO-SaaS for SSE - AddOn
C46,Skyhigh CASB for Office 365 Mail Student Use Option,,,,C65,Skyhigh SaaS Unlimited (Inline) - Addon
C47,Skyhigh CASB for Office 365 SharePoint and OneDrive Student Use Option,,,,,Solution Services
C48,Skyhigh CASB for Google Drive Student Use Option,,,,MSH-CONS-DY,Skyhigh Security Professional Services (POST)
C49,Skyhigh CASB for Google Mail Student Use Option,,,,MSH-CONS-DYPP,Skyhigh Security Professional Services (Prepaid)
,Secure Web Gateway,,,,SS-TRN-VOUCHER,Skyhigh Security Training Voucher
MVW,Skyhigh SWG,,,,SS-TRVL-VOUCHER,Skyhigh Security Travel Voucher
MVW-U,Skyhigh SWG - Upgrade,,,,SS-CONS-VOUCHER,Skyhigh Security Consulting Voucher
MVW-ADV,Skyhigh SWG Advanced,,,,SS-CONS-INREG-DYPP,Skyhigh Security Professional Services - In Region (Prepaid)
