Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Database Security (Subscription)
,Data Security Suites (Subscription),,,,DCD-S,Trellix Database Security - Subscription
DATA-S,Trellix Data Security Suite - Subscription,,,,,Data Security Suites (Perpetual + Support)
DATAU-S,Trellix Data Security Suite Upgrade  - Subscription,,,,DATA,Trellix Data Security Suite
TDL-S,Trellix Data Loss Prevention Suite - Subscription,,,,DATAU,Trellix Data Security Suite - Upgrade
DATA-DB-S,Trellix Database Security for Data Security Suite - Subscription,,,,DATA-DB,Trellix Database Security for Data Security Suite
NDLP-S,Trellix Data Security Network Suite- Subscription,,,,NDLP,Trellix Data Security Network Suite
NDLPU-S,Trellix Data Security Network Suite Upgrade - Subscription,,,,NDLPU,Trellix Data Security Network Suite Upgrade
CDA-S,Trellix Data Security Endpoint Protection Suite - Subscription,,,,TDL,Trellix Data Loss Prevention Suite
CDAU-S,Trellix Data Security Endpoint Protection Suite Upgrade  - Subscription,,,,CDA,Trellix Data Security Endpoint Protection Suite
CDB-S,Trellix Data Encryption Suite  - Subscription,,,,CDAU,Trellix Data Security Endpoint Protection Suite - Upgrade
CDBU-S,Trellix Data Encryption Suite - Subscription Upgrade,,,,CDB,Trellix Data Encryption Suite
,Data Loss Prevention (DLP) (Subscription),,,,CDBU,Trellix Data Encryption Suite - Upgrade
DLP-S,Trellix Data Loss Prevention Endpoint Complete - Subscription,,,,,Data Loss Prevention (DLP) (Perpetual + Support)
DLPU-S,Trellix Data Loss Prevention Endpoint Complete Upgrade - Subscription,,,,DLP,Trellix Data Loss Prevention Endpoint Complete
DLS,Trellix Data Loss Prevention Extended Data Retention (Add On),,,,DLPU,Trellix Data Loss Prevention Endpoint Complete Upgrade
DEC-S,Trellix Device Control - Subscription,,,,DEC,Trellix Device Control
DDS-S,Trellix Data Loss Prevention Discover - Subscription,,,,DDS,Trellix Data Loss Prevention Discover
DDSU-S,Trellix Data Loss Prevention Discover Upgrade - Subscription,,,,DMO,Trellix Data Loss Prevention Network Monitor
DMO-S,Trellix Data Loss Prevention Network Monitor - Subscription,,,,DPV,Trellix Data Loss Prevention Network Prevent
