Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Protection and EDR (SaaS & On-Premise) - With MDR
,Email Security,,,,TRXE1M1-DE,Trellix Endpoint Security Suite (Germany Data Center) + Managed Detection & Response
EMCL-EU,Email Security Cloud Edition (European Data Center),,,,TRXE1M1U-DE,Trellix Endpoint Security Suite - Upgrade (Germany Data Center) + Managed Detection & Response
EMCA-EU,Email Security Cloud AntiVirus/AntiSpam Edition (European Data Center),,,,,EDR (SaaS & On-Premise)
EMCAU-EU,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade (European Data Center),,,,MV4-DE,Trellix EDR (Germany Data Center)
TPS-EU,Trellix Phishing Simulator (European Data Center),,,,MV4U-DE,Trellix EDR - Upgrade (Germany Data Center)
EMCLVX-DE,Email Security for Office 365 (German Data Center),,,,,Helix (SaaS)
,Data Security Suites (Subscription),,,,XDR-DE,Helix Connect (Germany Data Center)
DATA-S-DE,Trellix Data Security Suite - Subscription (Germany Data Center),,,,OXDR-50GB-DE-ADDON,Helix Connect Open XDR for External Data Add-on - 50 GB (Germany Data Center)
DATAU-S-DE,Trellix Data Security Suite Upgrade  - Subscription (Germany Data Center),,,,OXDR-100GB-DE-ADDON,Helix Connect Open XDR for External Data Add-on - 100 GB (Germany Data Center)
TDL-S-DE,Trellix Data Loss Prevention Suite - Subscription (Germany Data Center),,,,OXDR-250GB-DE-ADDON,Helix Connect Open XDR for External Data Add-on - 250 GB (Germany Data Center)
NDLP-S-DE,Trellix Data Security Network Suite - Subscription (Germany Data Center),,,,OXDR-1TB-DE-ADDON,Helix Connect Open XDR for External Data Add-on - 1 TB (Germany Data Center)
NDLPU-S-DE,Trellix Data Security Network Suite Upgrade - Subscription (Germany Data Center),,,,OXDR-50GB-10M-DE-ADDON,Helix Connect XDR Retention 10 Months Add-On - 50 GB (Germany Data Center)
