Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,File & Application Control
,Device to Cloud Defense (SaaS Only),,,,CCD,Trellix Change Control for PCs
MVA,Trellix Advanced,,,,ACD,Trellix Application Control for PCs
MVAU,Trellix Advanced - Upgrade,,,,ACD-S,Trellix Application Control for PCs - Subscription
MVP,Trellix Premium,,,,ICD,Trellix Integrity Control for Fixed Function Devices
MVPU,Trellix Premium - Upgrade,,,,,Security Management
,Protection and EDR (SaaS & On-Premise),,,,EPO,Trellix ePolicy Orchestrator On-Prem
MDR1,Managed Detection & Response Service 1,,,,,Threat Intelligence Exchange
TRXHX,Trellix Advanced Endpoint Security with Forensics,,,,MVT,Trellix Threat Intelligence Exchange - SaaS
TRXHXU,Trellix Advanced Endpoint Security with Forensics - Upgrade,,,,MVT-U,Trellix Threat Intelligence Exchange - SaaS Upgrade
TRXE1,Trellix Endpoint Security Suite,,,,TIE,Trellix Threat Intelligence Exchange
TRXE1U,Trellix Endpoint Security Suite - Upgrade,,,,,Risk Management
SS4,Trellix Secure Schools Endpoint Security Suite,,,,HPD,Trellix Policy Auditor for Desktops
SS4U,Trellix Secure Schools Endpoint Security Suite - UPGRADE,,,,,Platform API
MV6,Trellix Protect Plus EDR for Endpoint,,,,PL1,Trellix API
MV6U,Trellix Protect Plus EDR for Endpoint - Upgrade,,,,,Extended and Custom Software Support
EDREX,Trellix EDR Data Extension Add-on,,,,CUST-SPPT-ENS-C,Trellix Software Support on Windows 7 - ENS-Client
EDREX180,Trellix EDR Data Extension Add-on 180 Days,,,,CUST-SPPT-ENS-S,Trellix Software Support on Legacy Windows Server - ENS-Server
EDREX180-U,Trellix EDR Data Extension Add-on 180 Days - Upgrade,,,,CUST-SPPT-WIN-HIPS-C,Trellix Software Support on Legacy Windows - HIPS-Client
EDR-WISE,Trellix Wise for EDR Add-on,,,,CUST-SPPT-WIN-HIPS-S,Trellix Software Support on Legacy Windows Server - HIPS-Server
,Protection and EDR (SaaS & On-Premise) - With MDR,,,,CUST-SPPT-W7-MAC-S,Trellix Software Support on Legacy Windows Server - TAC-Server
TRXE1M1,Trellix Endpoint Security Suite + Managed Detection & Response,,,,CUST-SPPT-W7-MAC-C,Trellix Software Support on Windows 7 - TAC-Client
TRXE1M1U,Trellix Endpoint Security Suite - Upgrade + Managed Detection & Response,,,,CUST-SPPT-W7-MCC-C,Trellix Software Support on Windows 7 - TCC-Client
,EDR (SaaS & On-Premise),,,,CUST-SPPT-W7-MCC-S,Trellix Software Support on Legacy Windows Server - TCC-Server
MV4,Trellix EDR,,,,CUST-SPPT-WIN-VSE-C,Trellix Software Support on Legacy Windows - VSE-Client
MV4U,Trellix EDR - Upgrade,,,,CUST-SPPT-WIN-VSE-S,Trellix Software Support on Legacy Windows Server - VSE-Server
,Protection (SaaS & On-Premise),,,,CUST-SPPT-ACD,Trellix Legacy Support for Application and Change Control - Desktop
MV1,Trellix Protect Standard,,,,CUST-SPPT-ACS,Trellix Legacy Support for Application and Change Control - Server
MV1U,Trellix Protect Standard - Upgrade,,,,CUST-SPPT-WIN-HX,Trellix Software Support on Legacy Windows - HX
MV2,Trellix Protect Plus,,,,CUST-SPPT-EDR,Trellix Software Extended Support on Windows - EDR
MV2U,Trellix Protect Plus - Upgrade,,,,,Hermes Endpoint Subscriptions
MV3,Trellix Mobile Security Advanced,,,,EPEES-T,Endpoint Security Essentials Edition (Enterprise)(T)
VPC,Trellix Mobile Security Advanced - Public Cloud VPC,,,,EPUES-T,Endpoint Security Essentials Edition(T)
SS1,Trellix Secure Schools Protect Standard,,,,EPEPW-T,Endpoint Security Power Edition (Enterprise)(T)
OPVA,Trellix Mobile Security Advanced - On-Prem,,,,EPEPWU-T,Endpoint Security Power Edition (Enterprise) - UPGRADE(T)
SS2,Trellix Secure Schools Protect Plus,,,,EPUPW-T,Endpoint Security Power Edition(T)
SS3,Trellix Secure Schools Protect Standard with EDR for Endpoint,,,,EPUPWU-T,Endpoint Security Power Edition - UPGRADE(T)
,Insights (SaaS & On-Premise),,,,,Hermes Endpoint Virtual Appliance Deployment Options
MVI,Trellix Insights,,,,EP-VA-T,Endpoint Security Virtual(T)
,Endpoint Protection On Premises,,,,EP-DMZ-VA-T,Endpoint Security DMZ Virtual(T)
CEB,Trellix Complete EndPoint Protection - Business,,,,,Hermes Endpoint Hardware Appliance Deployment Options
CEB-S,Trellix Complete EndPoint Protection - Business Subscription,,,,EP4600-T,EP 4600 Appliance(T)
CEBU,Trellix Complete EndPoint Protection - Business Upgrade,,,,EP4600-DMZ-T,EP 4600 DMZ Appliance(T)
CEBU-S,Trellix Complete EndPoint Protection - Business Upgrade Subscription,,,,,Endpoint Cloud Deploy Options
PSM-N,Trellix Security for Microsoft SharePoint,,,,HXCL-T,HX Cloud Hosting Endpoint - Large (T)
,,,,,HXCM-T,HX Cloud Hosting Endpoint - Medium(T)
,,,,,HXGCL-T,HX Cloud Hosting Endpoint - GCP - Large (T)
,,,,,HXGCM-T,HX Cloud Hosting Endpoint - GCP - Medium(T)
Trellix Endpoint Security,,,,,,
,Device to Cloud Defense (SaaS Only),,,,,
MVA,"Trellix Advanced
LICENSE: Per User with up to 5 devices per user
DELIVERABLE: Software as a Service (SaaS) with activation email.
MANAGEMENT:  ePO - SaaS providing cloud-based console for multiple admins with role-based controls for dashboards, policies, deployments, updates, reporting, and more.
FEATURES:  Proactively stop advanced threats and attack campaigns at your endpoints to keep your users and data safe.
1.	Prioritized & predictive threat intelligence with security risk advisor for endpoints & prescriptive policy recommendations (Trellix Insights).
2.	Integrated next-gen AV preventive controls including static and dynamic machine learning, exploit detection, behavior monitoring, web protection for suspicious sites & downloads, firewall, application containment, device control for ports & USB, Trellix Native Drive Encryption, rollback remediation, and optional management of native security controls for Windows 10.
DOWNLOADS:  Trellix Agent with optional modules including  Protection for Native Security, Endpoint Security for Windows, Endpoint Security for macOS, Endpoint Security for Linux, Device Control for Windows & MacOS and Trellix Native Drive Encryption for Windows & MacOS.
CLOUD SERVICES:  Trellix Insights
RESTRICTIONS:  Please see product documentation for details as some features may vary depending on the Operating System. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Trellix Advanced 1:1TE,MVAECE-AA,226.51,MVAECE-AA-AA,
B,251-1000,Trellix Advanced 1:1TE,MVAECE-AA,199.58,MVAECE-AA-BA,
C,1001-2000,Trellix Advanced 1:1TE,MVAECE-AA,171,MVAECE-AA-CA,
D,2001-5000,Trellix Advanced 1:1TE,MVAECE-AA,147.21,MVAECE-AA-DA,
E,5001-10000,Trellix Advanced 1:1TE,MVAECE-AA,130.75,MVAECE-AA-EA,
F,10001-+,Trellix Advanced 1:1TE,MVAECE-AA,114.24,MVAECE-AA-FA,
MVAU,"Trellix Advanced - Upgrade
LICENSE: Per User with up to 5 devices per user
DELIVERABLE: Software as a Service (SaaS) with activation email.
MANAGEMENT:  ePO - SaaS providing cloud-based console for multiple admins with role-based controls for dashboards, policies, deployments, updates, reporting, and more.
FEATURES:  Proactively stop advanced threats and attack campaigns at your endpoints to keep your users and data safe.
1.	Prioritized & predictive threat intelligence with security risk advisor for endpoints & prescriptive policy recommendations (Trellix Insights).
2.	Integrated next-gen AV preventive controls including static and dynamic machine learning, exploit detection, behavior monitoring, web protection for suspicious sites & downloads, firewall, application containment, device control for ports & USB, Trellix Native Drive Encryption, rollback remediation, and optional management of native security controls for Windows 10.
DOWNLOADS:  Trellix Agent with optional modules including  Protection for Native Security, Endpoint Security for Windows, Endpoint Security for macOS, Endpoint Security for Linux, Device Control for Windows & MacOS and Trellix Native Drive Encryption for Windows & MacOS.
CLOUD SERVICES:  Trellix Insights
RESTRICTIONS:  Please see product documentation for details as some features may vary depending on the Operating System. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Trellix Advanced UPGD 1:1TE,MVAECE-DA,226.51,MVAECE-DA-AA,
B,251-1000,Trellix Advanced UPGD 1:1TE,MVAECE-DA,199.58,MVAECE-DA-BA,
C,1001-2000,Trellix Advanced UPGD 1:1TE,MVAECE-DA,171,MVAECE-DA-CA,
D,2001-5000,Trellix Advanced UPGD 1:1TE,MVAECE-DA,147.21,MVAECE-DA-DA,
E,5001-10000,Trellix Advanced UPGD 1:1TE,MVAECE-DA,130.75,MVAECE-DA-EA,
F,10001-+,Trellix Advanced UPGD 1:1TE,MVAECE-DA,114.24,MVAECE-DA-FA,
