Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Helix (On-Prem)
,Helix (SaaS),,,,TAR-T,Trellix Automated Response (TAuR) or Automated Response(T)
XDR,Helix Connect,,,,NW-EC-VA-T,Network Evidence Collector - Virtual Appliance Add-on for Helix Connect (T)
OXDR-50GB-ADDON,Helix Connect Open XDR for External Data Add-on - 50 GB,,,,NW-EC-VA-DTI-T,Network Evidence Collector - Virtual Appliance for Helix Connect - DTI(T)
OXDR-100GB-ADDON,Helix Connect Open XDR for External Data Add-on - 100 GB,,,,,
OXDR-250GB-ADDON,Helix Connect Open XDR for External Data Add-on - 250 GB,,,,,
OXDR-1TB-ADDON,Helix Connect Open XDR for External Data Add-on - 1 TB,,,,,
OXDR-50GB-10M-ADDON,Helix Connect XDR Retention 10 Months Add-On - 50 GB,,,,,
OXDR-100GB-10M-ADDON,Helix Connect XDR Retention 10 Months Add-On - 100 GB,,,,,
OXDR-250GB-10M-ADDON,Helix Connect XDR Retention 10 Months Add-On - 250 GB,,,,,
OXDR-1TB-10M-ADDON,Helix Connect XDR Retention 10 Months Add-On - 1 TB,,,,,
OXDRCS-2YR-50GB-ADDON,Helix Connect 2 Year Cold Storage - 50 GB,,,,,
OXDRCS-2YR-100GB-ADDON,Helix Connect 2 Year Cold Storage - 100 GB,,,,,
OXDRCS-2YR-250GB-ADDON,Helix Connect 2 Year Cold Storage - 250 GB,,,,,
OXDRCS-2YR-1TB-ADDON,Helix Connect 2 Year Cold Storage - 1 TB,,,,,
OXDRCS-3YR-50GB-ADDON,Helix Connect 3 Year Cold Storage - 50 GB,,,,,
OXDRCS-3YR-100GB-ADDON,Helix Connect 3 Year Cold Storage - 100 GB,,,,,
OXDRCS-3YR-250GB-ADDON,Helix Connect 3 Year Cold Storage - 250 GB,,,,,
OXDRCS-3YR-1TB-ADDON,Helix Connect 3 Year Cold Storage - 1 TB,,,,,
XDRQS8-50GB-ADDON,Helix Connect 8 Day Index Search Retention - 50 GB,,,,,
XDRQS8-100GB-ADDON,Helix Connect 8 Day Index Search Retention - 100 GB,,,,,
XDRQS8-250GB-ADDON,Helix Connect 8 Day Index Search Retention - 250 GB,,,,,
XDRQS8-1TB-ADDON,Helix Connect 8 Day Index Search Retention - 1 TB,,,,,
XDRQS16-50GB-ADDON,Helix Connect 16 Day Index Search Retention - 50 GB,,,,,
XDRQS16-100GB-ADDON,Helix Connect 16 Day Index Search Retention - 100 GB,,,,,
XDRQS16-250GB-ADDON,Helix Connect 16 Day Index Search Retention - 250 GB,,,,,
XDRQS16-1TB-ADDON,Helix Connect 16 Day Index Search Retention - 1 TB,,,,,
XDR-FS-T,XDR Federated Search across Cloud Instances (T),,,,,
Trellix Helix,,,,,,
,Helix (SaaS),,,,,
XDR,"Helix Connect
LICENSE: License per User.
DELIVERABLE: Software as a Service (SaaS) with activation email.
MANAGEMENT: Helix Connect
CONTENT: Helix Connect, a cloud-hosted security operations and XDR platform with alert correlation, threat hunting (search), and SOAR capabilities. Data (event) ingestion of up to 100MB per user per month. Purchase of the Open XDR add-on is required for data ingestion exceeding the per user entitlement. Data is stored and searchable for 90 days. Purchase of XDR Retention add-on required to extend retention beyond 90 days.
RESTRICTIONS: Minimum 100 users.  For further exceptions, please refer to the Quoting Handbook.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Helix Connect 1:1TE,XDRECE-AA,113.52,XDRECE-AA-AA,
B,251-1000,Helix Connect 1:1TE,XDRECE-AA,102.17,XDRECE-AA-BA,
C,1001-2000,Helix Connect 1:1TE,XDRECE-AA,91.95,XDRECE-AA-CA,
D,2001-5000,Helix Connect 1:1TE,XDRECE-AA,82.77,XDRECE-AA-DA,
E,5001-10000,Helix Connect 1:1TE,XDRECE-AA,74.5,XDRECE-AA-EA,
F,10001-+,Helix Connect 1:1TE,XDRECE-AA,67.02,XDRECE-AA-FA,
OXDR-50GB-ADDON,"Helix Connect Open XDR for External Data Add-on - 50 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email.
CONTENT: Extends Helix Connect's capabilities to allow ingestion of events beyond the per user entitlement. Units of storage calculation determines amount of event ingestion allowed per day. Incidents created from events, such as alerts and their corresponding events to the incidents, are kept for 13 months.​
RESTRICTIONS: Must already own the Helix Connect offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
