Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,IVX Enterprise Cloud
,Hermes File Protect Subscriptions,,,,IVX,IVX Enterprise Cloud
NWEFX-T,File Security (Enterprise)(T),,,,IVX-BP,IVX Enterprise Cloud -Banded Submission Pack
,Hermes On-Prem File Protect Hardware Deployment Options,,,,,Hermes IVX Investigator Subscriptions (Formerly AX)
NWFX6600-T,File Protect 6600 Appliance(T),,,,NFEAX-T,IVX Investigator (Formerly AX)(T)
,IVX File Share Connector Virtual Appliance Deployment Options,,,,,Hermes IVX Investigator Hardware Appliance Deployment Options (Formerly AX)
NWFX-VA-T,IVX File Share Connector(Formerly FX-VA)(T),,,,NFAX5600-T,IVX Investigator 5600 Appliance  (Formerly AX)(T)
,IVX Enterprise On-Prem - Hardware Appliances,,,,,IVX Enterprise - Virtual Appliances
5600IVX-T,5600 IVX Enterprise Appliance(T),,,,IVX-VM300,Trellix Intelligent Virtual Execution VM 300 - 16 Core
5600IVX-S-T,5600 IVX Enterprise SW and DTI - Subscription(T),,,,IVX-VM300-32,Trellix Intelligent Virtual Execution VM 300 - 32 Core
12600IVX-T,12600 IVX Enterprise Appliance(T),,,,IVX-VM300-48,Trellix Intelligent Virtual Execution VM 300 - 48 Core
12600IVX-S-T,12600 IVX Enterprise SW and DTI - Subscription(T),,,,IVX-VM300-64,Trellix Intelligent Virtual Execution VM 300 - 64 Core
,,,,,,Central Management Virtual Appliance Deployment Options - IVX/ATD
,,,,,CM-VA-IVX,Central Management - Virtual Appliance - IVX
,,,,,CM-VA-DTI-IVX,CM Virtual Appliance - Dynamic Threat Intelligence - IVX
Trellix IVX,,,,,,
,Hermes File Protect Subscriptions,,,,,
NWEFX-T,"File Security (Enterprise)(T)
LICENSE: Per Appliance
Content: File Security",,,,,
,2 Way Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,File Security 2W 1:1TE(T),NWFX2WECE-AA,142332.9,NWFX2WECE-AA-AA,
,1 Way Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,File Security 1W 1:1TE(T),NWFX1WECE-AA,156566.19,NWFX1WECE-AA-AA,
,Offline Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,File Security OF 1:1TE(T),NWFXOFECE-AA,170799.48,NWFXOFECE-AA-AA,
,Hermes On-Prem File Protect Hardware Deployment Options,,,,,
NWFX6600-T,"File Protect 6600 Appliance(T)
LICENSE: Per Appliance
DELIVERABLE: Appliance Sensor HW unit (Only)
REQUIREMENTS:  Only for including as a HW deployment option for customers with a base Hermes File Security subscription.",,,,,
,Standard Offering,,,,,
,Hardware,,,,,
 ,1-+,File Protect 6600 Appliance(T),NWFX-6600-T,133557.49,NWFX-6600-TA,
,IVX File Share Connector Virtual Appliance Deployment Options,,,,,
NWFX-VA-T,"IVX File Share Connector(Formerly FX-VA)(T)
LICENSE: Per Appliance Instance
DELIVERABLE: Virtual appliance image. Virtual appliance image contains activation code.
REQUIREMENTS: Only for including as a VM deployment option for customers with IVX Cloud, IVX Virtual, or IVX On-Prem subscription.",,,,,
,Standard Offering,,,,,
,Perpetual Software License,,,,,
A,1-+,File Share Connector SW PERP LIC(T),VNWFXCXE-AT,0.0,VNWFXCXE-AT-AA,
,IVX Enterprise On-Prem - Hardware Appliances,,,,,
5600IVX-T,"5600 IVX Enterprise Appliance(T)
LICENSE: Per Appliance
DELIVERABLE: Appliance HW unit (Only)
REQUIREMENTS: Must be ordered in conjunction with the corresponding Appliance Subscription License option as required for the SW activation code, DTI subscription and Support options for the appliance.
NOTES: The Classic sale option is  NOT applicable for a base Hermes subscription related HW Deployment Option",,,,,
,Standard Offering,,,,,
,Hardware,,,,,
 ,1-+,5600 IVX Enterprise S Appl (T),IVX-5600-T,46025.96,IVX-5600-TA,FCS Date 04/14/2025
5600IVX-S-T,"5600 IVX Enterprise SW and DTI - Subscription(T)
LICENSE: Per Appliance
DELIVERABLE: Appliance Activation and Content Key
CONTENT: Software, Support and DTI Subscription for 5600IVX Enterprise appliance
REQUIREMENTS:  Must be ordered in conjunction with the corresponding Appliance HW unit
NOTE: This Classic License option is  NOT applicable for a base Hermes subscription related HW Deployment Option. It provides an all-in offering that combines the Software, Support and DTI Content for an appliance as a combined annual Subscription",,,,,
,2 Way Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,5600 IVX Ent Appl SW&DTI 2W 1:1TE(T),IVX56002WECE-AT,101921.16,IVX56002WECE-AT-AA,FCS Date 04/14/2025
,1 Way Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,5600 IVX Ent Appl SW&DTI 1W 1:1TE(T),IVX56001WECE-AT,120452.28,IVX56001WECE-AT-AA,FCS Date 04/14/2025
,Offline Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,5600 IVX Ent Appl SW&DTI OF 1:1TE(T),IVX5600OFECE-AT,129717.84,IVX5600OFECE-AT-AA,FCS Date 04/14/2025
12600IVX-T,"12600 IVX Enterprise Appliance(T)
LICENSE: Per Appliance
DELIVERABLE: Appliance HW unit (Only)
REQUIREMENTS: Must be ordered in conjunction with the corresponding Appliance Subscription License option as required for the SW activation code, DTI subscription and Support options for the appliance.
NOTES: The Classic sale option is  NOT applicable for a base Hermes subscription related HW Deployment Option",,,,,
,Standard Offering,,,,,
,Hardware,,,,,
 ,1-+,12600 IVX Enterprise S Appl(T),IVX-12600-T,165260.53,IVX-12600-TA,FCS Date 04/14/2025
12600IVX-S-T,"12600 IVX Enterprise SW and DTI - Subscription(T)
LICENSE: Per Appliance
DELIVERABLE: Appliance Activation and Content Key
CONTENT: Software, Support and DTI Subscription for 12600IVX Enterprise appliance
REQUIREMENTS:  Must be ordered in conjunction with the corresponding Appliance HW unit
NOTE: The Classic License option is  NOT applicable for a base Hermes subscription related HW Deployment Option. It provides an all-in offering that combines the Software, Support and DTI Content for an appliance as a combined annual Subscription",,,,,
,2 Way Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,12600 IVX Ent Appl SW&DTI 2W 1:1TE(T),IVX126002ECE-AT,361356.84,IVX126002ECE-AT-AA,FCS Date 04/14/2025
,1 Way Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,12600 IVX Ent Appl SW&DTI 1W 1:1TE(T),IVX126001ECE-AT,426215.76,IVX126001ECE-AT-AA,FCS Date 04/14/2025
,Offline Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,12600 IVX Ent Appl SW&DTI OF 1:1TE(T),IVX12600OECE-AT,435481.32,IVX12600OECE-AT-AA,FCS Date 04/14/2025
,IVX Enterprise Cloud,,,,,
IVX,"IVX Enterprise Cloud
LICENSE: Per User
DELIVERABLE: IVX Enterprise Cloud
REQUIREMENTS: Minimum New Sale Order Quantity is 250 Users
NOTE:  Trellix-M IAM hosted only
Customer purchasing on a Per-User basis may use the Product for up to twenty (20) submissions per User per month of the Product Term, aggregated across all of Customer’s Users. ""Submissions"" are files or other artefacts submitted to the Product by Customer for processing.  User’s here refers to the employee count of the organization.",,,,,
