Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Helix (SaaS)
,Email Security,,,,XDR-AU,Helix Connect (Australia Data Center)
EMCL-JP,Email Security Cloud Edition (Tokyo Data Center),,,,OXDR-50GB-AU-ADDON,Helix Connect Open XDR for External Data Add-on - 50 GB (Australia Data Center)
EMCA-JP,Email Security Cloud AntiVirus/AntiSpam Edition (Tokyo Data Center),,,,OXDR-100GB-AU-ADDON,Helix Connect Open XDR for External Data Add-on - 100 GB (Australia Data Center)
EMCAU-JP,Email Security Cloud AntiVirus/AntiSpam Edition - Upgrade (Tokyo Data Center),,,,OXDR-250GB-AU-ADDON,Helix Connect Open XDR for External Data Add-on - 250 GB (Australia Data Center)
TPS-JP,Trellix Phishing Simulator (Tokyo Data Center),,,,OXDR-1TB-AU-ADDON,Helix Connect Open XDR for External Data Add-on - 1 TB (Australia Data Center)
EMCLVX-JP,Email Security for Office 365 (Tokyo Data Center),,,,OXDR-50GB-10M-AU-ADDON,Helix Connect XDR Retention 10 Months Add-On - 50 GB (Australia Data Center)
,IVX Enterprise Cloud,,,,OXDR-100GB-10M-AU-ADDON,Helix Connect XDR Retention 10 Months Add-On - 100 GB (Australia Data Center)
IVX-JP,IVX Enterprise Cloud (Tokyo Data Center),,,,OXDR-250GB-10M-AU-ADDON,Helix Connect XDR Retention 10 Months Add-On - 250 GB (Australia Data Center)
IVX-JP-BP,IVX Enterprise Cloud -Banded Submission Pack (Tokyo Data Center),,,,OXDR-1TB-10M-AU-ADDON,Helix Connect XDR Retention 10 Months Add-On - 1 TB (Australia Data Center)
,Protection and EDR (SaaS & On-Premise),,,,OXDRCS-2YR-50GB-ADDON-AU,Helix Connect 2 Year Cold Storage - 50 GB (Australia Data Center)
TRXHX-AU,Trellix Advanced Endpoint Security with Forensics (Australia Data Center),,,,OXDRCS-2YR-100GB-ADDON-AU,Helix Connect 2 Year Cold Storage - 100 GB (Australia Data Center)
TRXHXU-AU,Trellix Advanced Endpoint Security with Forensics - Upgrade (Australia Data Center),,,,OXDRCS-2YR-250GB-ADDON-AU,Helix Connect 2 Year Cold Storage - 250 GB (Australia Data Center)
TRXE1-AU,Trellix Endpoint Security Suite (Australia Data Center),,,,OXDRCS-2YR-1TB-ADDON-AU,Helix Connect 2 Year Cold Storage - 1 TB (Australia Data Center)
TRXE1U-AU,Trellix Endpoint Security Suite - Upgrade (Australia Data Center),,,,OXDRCS-3YR-50GB-ADDON-AU,Helix Connect 3 Year Cold Storage - 50 GB (Australia Data Center)
MV6-AU,Trellix Protect Plus EDR for Endpoint (Australia Data Center),,,,OXDRCS-3YR-100GB-ADDON-AU,Helix Connect 3 Year Cold Storage - 100 GB (Australia Data Center)
MV6U-AU,Trellix Protect Plus EDR for Endpoint - Upgrade (Australia Data Center),,,,OXDRCS-3YR-250GB-ADDON-AU,Helix Connect 3 Year Cold Storage - 250 GB (Australia Data Center)
EDREX-AU,Trellix EDR Data Extension Add-on (Australia Data Center),,,,OXDRCS-3YR-1TB-ADDON-AU,Helix Connect 3 Year Cold Storage - 1 TB (Australia Data Center)
EDREX180-AU,Trellix EDR Data Extension Add-on 180 Days (Australia Data Center),,,,XDRQS8-50GB-ADDON-AU,Helix Connect 8 Day Index Search Retention - 50 GB (Australia Data Center)
EDREX180-U-AU,Trellix EDR Data Extension Add-on 180 Days - Upgarde (Australia Data Center),,,,XDRQS8-100GB-ADDON-AU,Helix Connect 8 Day Index Search Retention - 100 GB (Australia Data Center)
EDR-WISE-AU,Trellix Wise for EDR Add-on (Australia Data Center),,,,XDRQS8-250GB-ADDON-AU,Helix Connect 8 Day Index Search Retention - 250 GB (Australia Data Center)
,Protection and EDR (SaaS & On-Premise) - With MDR,,,,XDRQS8-1TB-ADDON-AU,Helix Connect 8 Day Index Search Retention - 1 TB (Australia Data Center)
TRXE1M1-AU,Trellix Endpoint Security Suite (Australia Data Center) + Managed Detection & Response,,,,XDRQS16-50GB-ADDON-AU,Helix Connect 16 Day Index Search Retention - 50 GB (Australia Data Center)
TRXE1M1U-AU,Trellix Endpoint Security Suite - Upgrade (Australia Data Center) + Managed Detection & Response,,,,XDRQS16-100GB-ADDON-AU,Helix Connect 16 Day Index Search Retention - 100 GB (Australia Data Center)
,EDR (SaaS & On-Premise),,,,XDRQS16-250GB-ADDON-AU,Helix Connect 16 Day Index Search Retention - 250 GB (Australia Data Center)
MV4-AU,Trellix EDR (Australia Data Center),,,,XDRQS16-1TB-ADDON-AU,Helix Connect 16 Day Index Search Retention - 1 TB (Australia Data Center)
MV4U-AU,Trellix EDR - Upgrade (Australia Data Center),,,,XDR-JP,Helix Connect (Tokyo Data Center)
,,,,,OXDR-50GB-ADDON-JP,Helix Connect Open XDR for External Data Add-on - 50 GB (Tokyo Data Center)
,,,,,OXDR-100GB-ADDON-JP,Helix Connect Open XDR for External Data Add-on - 100 GB (Tokyo Data Center)
,,,,,OXDR-250GB-ADDON-JP,Helix Connect Open XDR for External Data Add-on - 250 GB (Tokyo Data Center)
,,,,,OXDR-1TB-ADDON-JP,Helix Connect Open XDR for External Data Add-on - 1 TB (Tokyo Data Center)
,,,,,OXDR-50GB-10M-ADDON-JP,Helix Connect XDR Retention 10 Months Add-On - 50 GB (Tokyo Data Center)
,,,,,OXDR-100GB-10M-ADDON-JP,Helix Connect XDR Retention 10 Months Add-On - 100 GB (Tokyo Data Center)
,,,,,OXDR-250GB-10M-ADDON-JP,Helix Connect XDR Retention 10 Months Add-On - 250 GB (Tokyo Data Center)
,,,,,OXDR-1TB-10M-ADDON-JP,Helix Connect XDR Retention 10 Months Add-On - 1 TB (Tokyo Data Center)
