Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Legacy - Email Software Options
,Regional Data Center,,,,AURL,Attach/URL engine for Email Security(F)
RDC-US,Data Center - US (ETP),,,,,Legacy - Classic Endpoint Virtual Appliances
RDC-US-NVIRGINIA,Data Center - US East (N.Virginia),,,,2502HX-VA,2502 HX Virtual Appliance(F)
RDC-US-OREGON,Data Center - US West (Oregon),,,,2500HX-DMZ-VA,2500 HX DMZ Virtual Appliance(F)
RDC-US-OHIO,Data Center - US East (Ohio),,,,4500HX-DMZ-VA,4500 HX DMZ Virtual Appliance(F)
RDC-GOVCLOUD,Data Center - GovCloud,,,,4502HX-VA,4502 HX Virtual Appliance(F)
RDC-CA-CENTRAL,Data Center - Canada (Central),,,,4600HX-DMZ-VA,4600 HX DMZ Virtual Appliance(F)
RDC-BR,Data Center - South America (Sao Paulo),,,,4600HX-VA,4600 HX Virtual Appliance(F)
RDC-EU,Data Center - EU (ETP),,,,,Legacy - Classic Endpoint Hardware Appliances
RDC-IE,Data Center - EU (Ireland),,,,4502HX-SW,4502 HX Appliance Software(F)
RDC-DE,Data Center - EU (Frankfurt),,,,4502HX-DMZ-SW,4502 HX DMZ Appliance Software(F)
RDC-UK,Data Center - UK (London),,,,4600HX,4600 HX Appliance(F)
RDC-IT,Data Center - Italy (Milan),,,,4600HX-SW,4600 HX Appliance Software(F)
RDC-FR,Data Center - France (Paris),,,,4600HX-DMZ,4600 HX DMZ Appliance(F)
RDC-SE,Data Center - Sweden (Stockholm),,,,4600HX-DMZ-SW,4600 HX DMZ Appliance Software(F)
RDC-BH,Data Center - Middle East (Bahrain),,,,,Legacy - Hermes Network NX Subscriptions
RDC-ZA,Data Center - South Africa (Cape Town),,,,NWUNX,Network Security NX Edition(F)
RDC-JP,Data Center - Asia Pacific (Tokyo),,,,NWUNS,Network Security NX Edition (SMB)(F)
RDC-SG,Data Center - Asia Pacific (Singapore),,,,,Legacy - Classic Network NX Virtual Appliances
RDC-AU,Data Center - Asia Pacific (Sydney),,,,12550VX-BM-VA,12550 VX BareMetal Virtual Appliance(F)
RDC-IN,Data Center - Asia Pacific (Mumbai),,,,12550VX-BM-VA-DTI,12550 VX BareMetal Virtual Appliance - Dynamic Threat Intelligence(F)
RDC-HK,Data Center - Asia Pacific (Hong Kong),,,,1500NXS-VA,1500 NXS Virtual Sensor (50 Mbps)(F)
RDC-SKR,Data Center - Asia Pacific (Seoul),,,,1500NXS-VA-DTI,1500 NXS Virtual Sensor (50 Mbps) - Dynamic Threat Intelligence(F)
