Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Legacy - Enterprise Log Manager Appliances
,Legacy - Hermes IVX Enterprise Cloud Subscriptions  (Formerly DOD),,,,ELM-SSD-6,Trellix Enterprise Log Manager SSD-6
DOD-T,IVX Enterprise Cloud (Formely Detection on Demand)(T),,,,ELM-6075,Trellix Enterprise Log Manager 6075
DOD-DE-T,IVX Enterprise Cloud (Formely Detection on Demand) (Germany Data Center)(T),,,,ELM-6050,Enterprise Log Manager 6050
,Legacy - IVX Enterprise Cloud,,,,ELM-5775,Trellix Enterprise Log Manager 5775
IVX-P,IVX Enterprise Cloud -Submission Pack,,,,ELM-5700,Enterprise Log Manager 5700
IVX-DE-P,IVX Enterprise Cloud -Submission Pack (Germany Data Center),,,,ELM-SSD-5,Enterprise Log Manager SSD5
IVX-JP-P,IVX Enterprise Cloud -Submission Pack (Tokyo Data Center),,,,,Legacy - Enterprise Log Search Appliances
,Legacy - Premium Support,,,,ELS-SSD-6,Trellix Enterprise Log Search SSD6
PRS-SAM,Resident Enterprise Support- Support Account Manager,,,,ELS-6075,Trellix Enterprise Log Search 6075
,Legacy - Custom Support,,,,ELS-6050,Enterprise Log Search 6050
CUST-SPPT-PSW,Software (Pre-loaded) Custom Support,,,,ELS-5775,Trellix Enterprise Log Search 5775
CUST-SPPT-HW,Hardware Custom Support,,,,ELS-5700,Enterprise Log Search 5700
CUST-SPPT-SIEM-PSW,SIEM Appliance (Pre-loaded Software) Custom Support,,,,ELS-SSD-5,Enterprise Log Search SSD Gen 5
CUST-SPPT-IPS-PSW,Network IPS Appliance (Pre-loaded Software) Custom Support,,,,,Legacy - Event Receiver Appliances
CUST-SPPT-DLP-PSW,DLP Appliance (Pre-loaded Software) Custom Support,,,,ERC-SSD-6,Trellix Event Receiver SSD-6
CUST-SPPT-ATD-PSW,ATD Appliance (Pre-loaded Software) Custom Support,,,,ERC-3575,Trellix Event Receiver 3575
CUST-SPPT-SW,Legacy Software Custom Support,,,,ERC-4700,Event Receiver 4700
CUST-SPPT-CP-SW,Legacy Client Protection Software Custom Support,,,,ERC-3500,Event Receiver 3500
CUST-SPPT-EDR-SW,Legacy EDR Software Custom Support,,,,ERC-2675,Trellix Event Receiver 2675
CUST-SPPT-DC-SW,Legacy Data Center Software Custom Support,,,,ERC-2650,Event Receiver 2650
,Endpoint Cloud Deploy Options,,,,ERC-1275,Trellix Event Receiver 1275
HXCL-OR-T,HX Cloud Hosting Endpoint - Large (Oregon Data Center)(T),,,,ERC-1270,Event Receiver 1270
HXCM-OR-T,HX Cloud Hosting Endpoint - Medium (Oregon Data Center)(T),,,,,Legacy - Advanced Correlation Engine Appliances
,Legacy - Protection and EDR (SaaS & On-Premise),,,,ACE-SSD-6,Trellix Advanced Correlation Engine SSD-6
MV7-AU,Trellix Protect Plus and EDR Premium for Endpoint (Australia Data Center),,,,ACE-4700,Advanced Correlation Engine 4700
MV7-DE,Trellix Protect Plus and EDR Premium for Endpoint (Germany Data Center),,,,ACE-2675,Trellix Advanced Correlation Engine 2675
MV7,Trellix Protect Plus and EDR Premium for Endpoint,,,,ACE-2650,Advanced Correlation Engine 2650
MV7U-AU,Trellix Protect Plus and EDR Premium for Endpoint - Upgrade (Australia Data Center),,,,,Legacy - Application Data Monitor Appliances
MV7U-DE,Trellix Protect Plus and EDR Premium for Endpoint - Upgrade (Germany Data Center),,,,APM-3575,Trellix Application Data Monitor 3575
MV7U,Trellix Protect Plus and EDR Premium for Endpoint - Upgrade,,,,APM-3500,Application Data Monitor 3500
,Legacy - EDR (SaaS & On-Premise),,,,APM-1275,Trellix Application Data Monitor 1275
MV5,Trellix EDR Premium,,,,APM-1270,Application Data Monitor 1270
MV5U,Trellix EDR Premium - Upgrade,,,,,Legacy - Global Threat Intelligence Service
MV5-DE,Trellix EDR Premium (Germany Data Center),,,,ESM-ELM-ERC-6075-GTI,Trellix Global Threat Intelligence (Module for ESM) - Combination 6075 Appliance
MV5U-DE,Trellix EDR Premium - Upgrade (Germany Data Center),,,,ETM-6075-GTI,Trellix Global Threat Intelligence (Module for ESM) - ETM-6075 Appliance
MV5-AU,Trellix EDR Premium (Australia Data Center),,,,ETM-X9-N-GTI,Trellix Global Threat Intelligence (Module for ESM) - ETM X9-N Appliance
MV5U-AU,Trellix EDR Premium - Upgrade (Australia Data Center),,,,ESM-ELM-ERC-6050-GTI,Global Threat Intelligence (Module for  ESM) - Combination 6050 Appliance
,Legacy - Server Security Solutions,,,,ESM-ELM-ERC-5775-GTI,Trellix Global Threat Intelligence (Module for ESM) - Combination 5775 Appliance
GSS,Trellix Security for Email Servers,,,,ESM-ELM-ERC-5700-GTI,Global Threat Intelligence (Module for  ESM) - Combination 5700 Appliance
GSS-S,Trellix Security for Email Servers Subscription,,,,ETM-6050-GTI,Global Threat Intelligence (Module for  ESM) - ETM-6050 Appliance
GSS-U,Trellix Security for Email Servers - Transition Subscription,,,,ETM-5775-GTI,Trellix Global Threat Intelligence (Module for ESM) - ETM-5775 Appliance
PSM-S,Trellix Security for Microsoft SharePoint Server,,,,ETM-5700-GTI,Global Threat Intelligence (Module for  ESM) - ETM-5700 Appliance
ESP-S,Trellix ENS Storage Protection - Subscription,,,,ETM-X7-GTI,Global Threat Intelligence (Module for  ESM) - ETM X7 Appliance
ESPU-S,Trellix ENS Storage Protection - Transition Subscription,,,,ETM-X7-N-GTI,Trellix Global Threat Intelligence (Module for ESM) - ETM X7-N Appliance
ESP-S-DE,Trellix ENS Storage Protection - Subscription (Germany Data Center),,,,ETM-X9-GTI,Global Threat Intelligence (Module for  ESM) - ETM-X9 Appliance
ESPU-S-DE,Trellix ENS Storage Protection - Transition Subscription (Germany Data Center),,,,ETM-X11-GTI,Global Threat Intelligence (Module for  ESM) - ETM-X11 Appliance
ESP-S-AU,Trellix ENS Storage Protection - Subscription (Australia Data Center),,,,ETM-X11-N-GTI,Trellix Global Threat Intelligence (Module for ESM) - ETM X11-N Appliance
ESPU-S-AU,Trellix ENS Storage Protection - Transition Subscription (Australia Data Center),,,,,Legacy - Classic Email Virtual Appliances
ESP-S-SG,Trellix ENS Storage Protection - Subscription (Singapore Data Center),,,,7700EX-BM-VA-T,7700 EX BareMetal Virtual Appliance(T)
ESPU-S-SG,Trellix ENS Storage Protection - Transition Subscription (Singapore Data Center),,,,7700EX-BM-VA-DTI-T,7700 EX BareMetal Virtual Appliance - Dynamic Threat Intelligence(T)
VMD,Trellix Database Vulnerability Manager,,,,5500EXS-VA-T,5500 EX Virtual Sensor Appliance(T)
,Legacy - Data Loss Prevention Appliances,,,,5500EXS-VA-DTI-T,5500 EX Virtual Sensor Appliance - Dynamic Threat Intelligence(T)
7700DLP-A,Trellix DLP 7700-A Appliance,,,,,Legacy - Classic Email Hardware Appliances
6600DLP-A,DLP 6600-A Appliance,,,,3500EX-SW-T,3500 EX Appliance Software(T)
CSADLP-A,Trellix DLP Capture Storage Array,,,,3500EX-DTI-T,3500 EX Appliance - Dynamic Threat Intelligence(T)
,Legacy - Helix,,,,3600EX-T,3600 EX Appliance(T)
XDR-EPS-AU,Helix Connect (EPS) (Australia Data Center)(T),,,,3600EX-SW-T,3600 EX Appliance Software(T)
XDR-EPS-DE,Helix Connect (EPS) (Germany Data Center)(T),,,,3600EX-DTI-T,3600 EX Appliance - Dynamic Threat Intelligence(T)
XDR-EPS-SG,Helix Connect (EPS) (Singapore Data Center)(T),,,,5500EX-SW-T,5500 EX Appliance Software(T)
XDR-EPS-JP,Helix Connect (EPS) (Tokyo Data Center)(T),,,,5500EX-DTI-T,5500 EX Appliance - Dynamic Threat Intelligence(T)
XDR-EPS-OR,Helix Connect (EPS) (US Oregon Data Center)(T),,,,5600EX-T,5600 EX Appliance(T)
XDR-EPS,Helix Connect (EPS)(T),,,,5600EX-SW-T,5600 EX Appliance Software(T)
XDRS16-AU,Helix Search 16 (Australia Data Center(T),,,,5600EX-DTI-T,5600 EX Appliance - Dynamic Threat Intelligence(T)
XDRS16-DE,Helix Search 16 (Germany Data Center(T),,,,8500EX-SW-T,8500 EX Appliance Software(T)
XDRS16-SG,Helix Search 16 (Singapore Data Center(T),,,,8500EX-DTI-T,8500 EX Appliance - Dynamic Threat Intelligence(T)
XDRS16-JP,Helix Search 16 (Tokyo Data Center(T),,,,8600EX-T,8600 EX Appliance(T)
XDRS16-OR,Helix Search 16 (US Oregon Data Center)(T),,,,8600EX-SW-T,8600 EX Appliance Software(T)
XDRS16,Helix Search 16(T),,,,8600EX-DTI-T,8600 EX Appliance - Dynamic Threat Intelligence(T)
XDRS30-AU,Helix Search 30 (Australia Data Center(T),,,,,Legacy - Email Software Options
XDRS30-DE,Helix Search 30 (Germany Data Center(T),,,,AURL-T,Attach/URL engine for Email Security(T)
XDRS30-SG,Helix Search 30 (Singapore Data Center(T),,,,,Legacy - Classic Endpoint Virtual Appliances
XDRS30-JP,Helix Search 30 (Tokyo Data Center(T),,,,2502HX-VA-T,2502 HX Virtual Appliance(T)
XDRS30-OR,Helix Search 30 (US Oregon Data Center)(T),,,,2500HX-DMZ-VA-T,2500 HX DMZ Virtual Appliance(T)
