Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Network IPS Transceivers
,Network IPS Management Solutions,,,,TRANSCEIVER-NS-100-SR4,Trellix Network Security 100GigE QSFP28 100GBASE-SR4 MMF Transceiver
NSM,"Trellix Network Security Manager Next Generation Appliance-Only for Standard, Global, Failover and Central manager",,,,TRANSCEIVER-NS-100-LR4,Trellix Network Security 100GigE QSFP28 100GBASE-LR4 SMF Transceiver
NMG,Trellix Network Security Manager Software Subscription Global Edition,,,,TRANSCEIVER-NS-40-LR,Trellix Network Security 40GigE QSFP+ 40GBASE-LR4 SM Transceiver
NMS,Trellix Network Security Manager Software Subscription Standard Edition,,,,TRANSCEIVER-NS-40-SR,Trellix Network Security 40GigE QSFP+ 40GBASE-SR4 MM Transceiver
NMT,Trellix Network Security Manager Software Subscription Starter Edition,,,,TRANSCEIVER-NS-10-LR,Trellix Network Security 10GigE SFP+ 10GBASE-LR SM Transceiver
,Next Generation Network IPS Virtual Appliances,,,,TRANSCEIVER-NS-10-SR,Trellix Network Security 10GigE SFP+ 10GBASE-SR MM Transceiver
IPS-VM1000-CLD-SUB,Trellix Virtual Network Security Platform Appliance - IPS-VM1000-CLD-SUB,,,,TRANSCEIVER-NS-M-1-LX,Trellix Network Security 1GigE SFP 1000BASE-LX SM Transceiver
IPS-VM1000-SSL-CLD-SUB,Trellix Virtual Network Security Platform Appliance with Inbound/Outbound SSL enabled,,,,TRANSCEIVER-NS-M-1-SX,Trellix Network Security 1GigE SFP 1000BASE-SX MM Transceiver
,Network IPS Appliances: NS9600 Series,,,,TRANSCEIVER-NS-M-1-T,Trellix Network Security 1GigE SFP 1000BASE-T Transceiver
IPS NS9600,Trellix Network Security IPS NS9600 Appliance,,,,,Network IPS Cables
NS9600-20GBPS-S,Trellix IPS NS9600 - 20Gbps Software license (Throughput based entitlement),,,,CABLE-PACK-1,Trellix Network Security 3-Meter QSFP28 Direct Attach Cable Pack for NS9x00
NS9600-40GBPS-S,Trellix IPS NS9600 - 40Gbps Software license (Throughput based entitlement),,,,,Network IPS Power Supplies
NS9600-60GBPS-S,Trellix IPS NS9600 - 60Gbps Software license (Throughput based entitlement),,,,POWER-SUPPLY-AC-NS-9X00,Trellix Network Security 1600W AC Spare Power Supply for NS9x00
NS9600-20GBPS FO-S,Trellix IPS NS9600 - 20Gbps Failover (HA) Software license (Throughput based entitlement),,,,PWR-SPLY-AC-NS-7K-5K-NS95,Trellix Network Security 650W AC Redundant Power Supply for NS7xx0 and NS5x00 and NS9500
NS9600-40GBPS FO-S,Trellix IPS NS9600 - 40Gbps Failover (HA) Software license (Throughput based entitlement),,,,PWR-SPLY-AC-NS-7600,Trellix Network Security 750W AC Redundant Power Supply for NS7600
NS9600-60GBPS FO-S,Trellix IPS NS9600 - 60Gbps Failover (HA) Software license (Throughput based entitlement),,,,,Hermes NDR Subscriptions
IPS NS9600 SSL,Trellix Network Security IPS NS9600 Appliance - Inbound/Outbound SSL,,,,NDRT0-T,Network Detection and Response Essentials Edition
,Network IPS Appliances: NS9500 Series,,,,NDRT1-T,Network Detection and Response Core Edition
IPS NS9500,Trellix Network Security IPS NS9500 Appliance,,,,NDRT2-T,Network Detection and Response Enterprise Edition
NS9500-10GBPS-S,Trellix IPS NS9500 - 10Gbps Software license (Throughput based entitlement),,,,,Hermes NDR Virtual Appliance Deployment Options
NS9500-20GBPS-S,Trellix IPS NS9500 - 20Gbps Software license (Throughput based entitlement),,,,NDRC-VA-T,NDR Console - Virtual Appliance(T)
NS9500-30GBPS-S,Trellix IPS NS9500 - 30Gbps Software license (Throughput based entitlement),,,,NDRS-VA-T,NDR Sensor - Virtual Appliance(T)
NS9500-40GBPS-S,Trellix IPS NS9500 - 40Gbps Software license (Throughput based entitlement),,,,,Hermes NDR Hardware Appliance Deployment Options
NS9500-60GBPS-S,Trellix IPS NS9500 - 60Gbps Software license (Throughput based entitlement),,,,NDRC2600-T,NDR Console 2600 Appliance(T)
NS9500-100GBPS-S,Trellix IPS NS9500 - 100Gbps Software license (Throughput based entitlement),,,,NDRS8600-T,NDR Sensor 8600 Appliance(T)
NS9500-10GBPS FO-S,Trellix IPS NS9500 - 10Gbps Failover (HA) Software license (Throughput based entitlement),,,,,Hermes Network NX Subscriptions
NS9500-20GBPS FO-S,Trellix IPS NS9500 - 20Gbps Failover (HA) Software license (Throughput based entitlement),,,,NWENX-T,Network Security NX Edition (Enterprise)(T)
NS9500-30GBPS FO-S,Trellix IPS NS9500 - 30Gbps Failover (HA) Software license (Throughput based entitlement),,,,,Hermes Network NX Virtual Appliance Deployment Options
NS9500-40GBPS FO-S,Trellix IPS NS9500 - 40Gbps Failover (HA) Software license (Throughput based entitlement),,,,NW-VA-T,Network Security Sensor - Virtual Appliance(T)
NS9500-60GBPS FO-S,Trellix IPS NS9500 - 60Gbps Failover (HA) Software license (Throughput based entitlement),,,,VX12550-BM-VA-T,Network Security 12550 BareMetal - Virtual Appliance(T)
NS9500-100GBPS FO-S,Trellix IPS NS9500 - 100Gbps Failover (HA) Software license (Throughput based entitlement),,,,NSNW-EC-VA-T,Network Evidence Collector - Virtual Appliance for Network Security(T)
IPS NS9500 10GB-SSL,Trellix Network Security IPS NS9500 10GB Appliance - Inbound/Outbound SSL,,,,,Hermes On-Prem IVX Enterprise Hardware Appliance Deployment Options
IPS NS9500 20GB-SSL,Trellix Network Security IPS NS9500 20GB Appliance - Inbound/Outbound SSL,,,,VX5600-T,IVX 5600 Enterprise (Formerly SmartGrid) Appliance(T)
IPS NS9500 30GB-SSL,Trellix Network Security IPS NS9500 30GB Appliance - Inbound/Outbound SSL,,,,VX12600-T,IVX 12600 Enterprise (Formerly SmartGrid) Appliance(T)
,Network IPS Appliances: NS7600 Series,,,,,Hermes Network NX Hardware Appliance Deployment Options
IPS NS7600,Trellix Network Security IPS NS7600 Appliance,,,,NW2600-T,NW 2600 Appliance(T)
NS7600-5GBPS-S,Trellix IPS NS7600 - 5Gbps Software license (Throughput based entitlement),,,,NW3600-T,NW 3600 Appliance(T)
NS7600-10GBPS-S,Trellix IPS NS7600 - 10Gbps Software license (Throughput based entitlement),,,,NW4600-T,NW 4600 Appliance(T)
NS7600-15GBPS-S,Trellix IPS NS7600 - 15Gbps Software license (Throughput based entitlement),,,,NW5600-T,NW 5600 Appliance(T)
NS7600-5GBPS FO-S,Trellix IPS NS7600 - 5Gbps Failover (HA) Software license (Throughput based entitlement),,,,NW6600-T,NW 6600 Appliance(T)
NS7600-10GBPS FO-S,Trellix IPS NS7600 - 10Gbps Failover (HA) Software license (Throughput based entitlement),,,,NW8600-T,NW 8600 Appliance(T)
NS7600-15GBPS FO-S,Trellix IPS NS7600 - 15Gbps Failover (HA) Software license (Throughput based entitlement),,,,,Hermes Forensics IA PX Subscrtiptions
IPS NS7600 SSL,Trellix Network Security IPS NS7600 Appliance - Inbound/Outbound SSL,,,,NFEIAPX-T,Forensics(T)
,Network IPS Appliances: NS3600 Series,,,,,Hermes Forensics IA Virtual Appliance Deployment Options
IPS NS3600,Trellix Network Security IPS NS3600 Appliance,,,,NFIA-VA-T,Network Forensics Security IA - Virtual Appliance(T)
NS3600-1GBPS-S,Trellix IPS NS3600 - 1Gbps Software license (Throughput based entitlement),,,,,Hermes Forensics IA Hardware Appliance Deployment Options
NS3600-3GBPS-S,Trellix IPS NS3600 - 3Gbps Software license (Throughput based entitlement),,,,NFIA2600-T,NFIA 2600 Appliance(T)
NS3600-5GBPS-S,Trellix IPS NS3600 - 5Gbps Software license (Throughput based entitlement),,,,,Classic Forensics IA Virtual Appliances
NS3600-1GBPS FO-S,Trellix IPS NS3600 - 1Gbps Failover (HA) Software license (Throughput based entitlement),,,,IA-VA-T,IA Virtual Appliance(T)
NS3600-3GBPS FO-S,Trellix IPS NS3600 - 3Gbps Failover (HA) Software license (Throughput based entitlement),,,,,Classic Forensics IA Hardware Appliances
NS3600-5GBPS FO-S,Trellix IPS NS3600 - 5Gbps Failover (HA) Software license (Throughput based entitlement),,,,2600IA-T,2600 IA Appliance(T)
IPS NS3600 SSL,Trellix Network Security IPS NS3600 Appliance - Inbound/Outbound SSL,,,,2600IA-SW-T,2600 IA Appliance Software(T)
,Network IPS Network I/O Expansion Modules,,,,,Hermes Forensics PX Virtual Appliance Deployment Options
