Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Protection (SaaS & On-Premise)
,Protection and EDR (SaaS & On-Premise),,,,MV1-SG,Trellix Protect Standard (Singapore Data Center)
TRXHX-SG,Trellix Advanced Endpoint Security with Forensics (Singapore Data Center),,,,MV1U-SG,Trellix Protect Standard - Upgrade (Singapore Data Center)
TRXHXU-SG,Trellix Advanced Endpoint Security with Forensics - Upgrade (Singapore Data Center),,,,MV2-SG,Trellix Protect Plus (Singapore Data Center)
,Helix (SaaS),,,,MV2U-SG,Trellix Protect Plus - Upgrade (Singapore Data Center)
XDR-SG,Helix Connect (Singapore Data Center),,,,,File & Application Control
OXDR-50GB-ADDON-SG,Helix Connect Open XDR for External Data Add-on - 50 GB (Singapore Data Center),,,,ACD-S-SG,Trellix Application Control for PCs - Subscription (Singapore Data Center)
OXDR-100GB-ADDON-SG,Helix Connect Open XDR for External Data Add-on - 100 GB (Singapore Data Center),,,,,Endpoint Cloud Deploy Options
OXDR-250GB-ADDON-SG,Helix Connect Open XDR for External Data Add-on - 250 GB (Singapore Data Center),,,,HXCL-SG-T,HX Cloud Hosting Endpoint - Large (Singapore Data Center)(T)
OXDR-1TB-ADDON-SG,Helix Connect Open XDR for External Data Add-on - 1 TB (Singapore Data Center),,,,HXCM-SG-T,HX Cloud Hosting Endpoint - Medium (Singapore Data Center)(T)
OXDR-50GB-10M-ADDON-SG,Helix Connect XDR Retention 10 Months Add-On - 50 GB (Singapore Data Center),,,,HXGCL-SG-T,HX Cloud Hosting Endpoint - GCP - Large (Singapore Data Center)(T)
OXDR-100GB-10M-ADDON-SG,Helix Connect XDR Retention 10 Months Add-On - 100 GB (Singapore Data Center),,,,HXGCM-SG-T,HX Cloud Hosting Endpoint - GCP - Medium (Singapore Data Center)(T)
OXDR-250GB-10M-ADDON-SG,Helix Connect XDR Retention 10 Months Add-On - 250 GB (Singapore Data Center),,,,,
OXDR-1TB-10M-ADDON-SG,Helix Connect XDR Retention 10 Months Add-On - 1 TB (Singapore Data Center),,,,,
OXDRCS-2YR-50GB-ADDON-SG,Helix Connect 2 Year Cold Storage - 50 GB (Singapore Data Center),,,,,
OXDRCS-2YR-100GB-ADDON-SG,Helix Connect 2 Year Cold Storage - 100 GB (Singapore Data Center),,,,,
OXDRCS-2YR-250GB-ADDON-SG,Helix Connect 2 Year Cold Storage - 250 GB (Singapore Data Center),,,,,
OXDRCS-2YR-1TB-ADDON-SG,Helix Connect 2 Year Cold Storage - 1 TB (Singapore Data Center),,,,,
OXDRCS-3YR-50GB-ADDON-SG,Helix Connect 3 Year Cold Storage - 50 GB (Singapore Data Center),,,,,
OXDRCS-3YR-100GB-ADDON-SG,Helix Connect 3 Year Cold Storage - 100 GB (Singapore Data Center),,,,,
OXDRCS-3YR-250GB-ADDON-SG,Helix Connect 3 Year Cold Storage - 250 GB (Singapore Data Center),,,,,
