Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Advanced Correlation Engine
,SIEM Combination,,,,ACE-4800,Trellix Advanced Correlation Engine 4800
ENM-ELM-6100,"Trellix Enterprise Security Manager, Log Manager and Event Receiver Combination 6100",,,,ACE-3600,Trellix Advanced Correlation Engine 3600
ESM-ELM-ERC-VM,"Trellix Virtual Enterprise Security Manager, Log Manager and Event Receiver Combination VM 8 Cores",,,,ACE-VM,Trellix Virtual Advanced Correlation Engine VM 8 Cores
ESM-ELM-ERC-VM4-CR ADDON,"Trellix Enterprise Security, Enterprise Log Manager and Enterprise Receiver VM (4 Core Add-On)",,,,ACE-VM-4-CORE-ADDON,Trellix Virtual Advanced Correlation Engine VM 4 Core Add-On
,Enterprise Security Manager,,,,,Application Data Monitor
ETM-6100,Trellix Enterprise Security Manager 6100,,,,APM-3600,Trellix Application Data Monitor 3600
ETM-X10,Trellix Enterprise Security Manager X10,,,,ADM-VM,Trellix Virtual Application Data Monitor VM 8 Cores
ESM-VM,Trellix Virtual Enterprise Security Manager VM 8 Cores,,,,ADM-VM-4-CORE-ADDON,Trellix Virtual Application Data Monitor VM 4 Core Add-On
ESM-VM-4-CORE-ADDON,Trellix Virtual Enterprise Security Manager VM 4 Core Add-On,,,,,Global Threat Intelligence Service
,Enterprise Log Manager,,,,ENMELM-6100-GTI,Trellix Global Threat Intelligence (Module for ESM) - Combination 6100 Appliance
ELM-6100,Trellix Enterprise Log Manager 6100,,,,ETM-6100-GTI,Trellix Global Threat Intelligence (Module for ESM) - ETM-6100 Appliance
ELM-VM,Trellix Virtual Enterprise Log Manager VM 8 Cores,,,,ETM-X10-GTI,Trellix Global Threat Intelligence (Module for ESM) - ETM X10 Appliance
ELM-VM-4-CORE-ADDON,Trellix Virtual Enterprise Log Manager VM 4 Core Add-On,,,,ESM-ELM-ERC-VM12-GTI,Trellix Global Threat Intelligence (Module for  ESM) - Combination VM-12
,Enterprise Log Search,,,,ESM-VM8-GTI,Trellix Global Threat Intelligence (Module for  ESM) - ESM-VM-8
ELS-VM,Trellix Virtual Enterprise Log Search VM 8 Cores,,,,ESM-VM12-GTI,Trellix Global Threat Intelligence (Module for  ESM) - ESM-VM-12
ELS-VM-4-CORE-ADDON,Trellix Virtual Enterprise Log Search VM 4 Core Add-On,,,,ESM-VM16-GTI,Trellix Global Threat Intelligence (Module for  ESM) - ESM-VM-16
,Event Receiver,,,,ESM-VM24-GTI,Trellix Global Threat Intelligence (Module for  ESM) - ESM-VM-24
ERC-3600,Trellix Event Receiver 3600,,,,ESM-VM32-GTI,Trellix Global Threat Intelligence (Module for  ESM) - ESM-VM-32
ERC-4800,Trellix Event Receiver 4800,,,,ESM-VM48-GTI,Trellix Global Threat Intelligence (Module for  ESM) - ESM-VM-48
ERC-VM,Trellix Virtual Event Receiver VM 8 Cores,,,,ESM-VM64-GTI,Trellix Global Threat Intelligence (Module for  ESM) - ESM-VM-64
ERC-VM-4-CORE-ADDON,Trellix Virtual Event Receiver VM 4 Core Add-On,,,,ESM-VM72-GTI,Trellix Global Threat Intelligence (Module for  ESM) - ESM-VM-72
,,,,,,SIEM Accessories
,,,,,ESM-10GRJSF-MOD,Trellix 10 Gigabit OCP 4-port network card (2 RJ45 & 2 SFP+ Combo)
,,,,,DAS-120,Trellix Direct Attached Storage 120
,,,,,DAS-250,Trellix Direct Attached Storage 250
,,,,,,Event Reporter
,,,,,EREP-VM-25,Trellix Event Reporter VM 25
Trellix SIEM,,,,,,
,"SIEM Combination
All new/ initial SIEM opportunities require Professional Services. Reference the Quoting Handbook Product Requirements General Guidance, under SIEM section, for detailed quote and order guidance.",,,,,
ENM-ELM-6100,"Trellix Enterprise Security Manager, Log Manager and Event Receiver Combination 6100
LICENSE: Per Unit.
PRODUCT CONTENT: Provides SIEM, Log Management, and Network Analysis functions. Includes Event Receiver. Provides compliant Log Management and collects data for correlation and analysis by Enterprise Security Manager. Includes 25.6 TB + 1.6 TB SSD local storage. (Raw log retention requires external storage. Optional SAN card sold separately). 1U Appliance. The corresponding Hardware and Business Software Support SKU is required to be sold with the appliance and provided on one consolidated purchase order.Usable event and flow data storage capacity will vary by customer event types, event rates, software version, and other factors.",,,,,
,Standard Offering,,,,,
,Hardware with Perpetual Software,,,,,
 ,1-+,"Ent Sec Mgr,ELM and EvtRec 6100 Appl",ENMELM-6100,212340.82,ENMELM-6100A,
,1yr Thrive Essential & Next Business Day Ship Hardware Support,,,,,
 ,1-+,"EntSecMgr, ELM,EvtRec 6100 1YrTE+NBD",ENMELM6100NBD,42468.15,ENMELM6100NBDA,
,1yr Thrive Essential & Same Day 24x7 Hardware Support (CRU Only),,,,,
 ,1-+,"EntSecMgr, ELM,EvtRec 6100 1YrTE+SD",ENMELM61005SD,53085.22,ENMELM61005SDA,
