Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Server Security Solutions
,Cloud Workload Security EDR,,,,MOD,Trellix MOVE AntiVirus for Virtual Desktops (VDI)
CWSDR,Trellix Cloud Workload Security Detect and Respond,,,,MOV,Trellix MOVE AntiVirus for Virtual Servers
CWSDRU,Trellix Cloud Workload Security Detect and Respond - Upgrade,,,,PAS,Trellix Policy Auditor for Servers
,Server Security Suites,,,,,File & Application Control - Server
CWSB,Trellix Cloud Workload Security - Basic,,,,CHS,Trellix Change Control for Servers
CWSB-S,Trellix Cloud Workload Security - Basic Subscription,,,,ACS,Trellix Application Control for Servers
CWSBU-S,Trellix Cloud Workload Security Basic - Transition Subscription,,,,,
CWSE,Trellix Cloud Workload Security - Essentials,,,,,
CWSE-S,Trellix Cloud Workload Security - Essentials Subscription,,,,,
CWSEU-S,Trellix Cloud Workload Security Essentials - Transition Subscription,,,,,
CWSA,Trellix Cloud Workload Security - Advanced,,,,,
CWSA-S,Trellix Cloud Workload Security - Advanced Subscription,,,,,
CWSAU-S,Trellix Cloud Workload Security Advanced - Transition Subscription,,,,,
Trellix Server Security,,,,,,
,Cloud Workload Security EDR,,,,,
CWSDR,"Trellix Cloud Workload Security Detect and Respond
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT:  ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT:  Cloud Workload Security for hybrid cloud:  (VMware, OpenStack, AWS and Azure), Endpoint Security for Servers, Endpoint Security Firewall Module, Endpoint Security for Linux, Threat Intelligence Exchange (TIE), MOVE Enterprise (includes:  MOVE AV Agentless and Multi-Platform), Network Visibility and Micro-Segmentation based firewall, Application Control for Servers, Change Control for Servers.  Trellix EDR Guided investigations utilizing 30-days of historical endpoint data.  EDR is hosted in the North America data center and is a SaaS service with email and agent download.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Security EDR 1:1TE,CWRECE-AA,1627.8,CWRECE-AA-AA,
B,26-50,Cloud Workload Security EDR 1:1TE,CWRECE-AA,1383.64,CWRECE-AA-BA,
C,51-100,Cloud Workload Security EDR 1:1TE,CWRECE-AA,1237.14,CWRECE-AA-CA,
D,101-250,Cloud Workload Security EDR 1:1TE,CWRECE-AA,1106.93,CWRECE-AA-DA,
E,251-500,Cloud Workload Security EDR 1:1TE,CWRECE-AA,1058.1,CWRECE-AA-EA,
F,501-1000,Cloud Workload Security EDR 1:1TE,CWRECE-AA,992.97,CWRECE-AA-FA,
G,1001-2000,Cloud Workload Security EDR 1:1TE,CWRECE-AA,927.84,CWRECE-AA-GA,
H,2001-5000,Cloud Workload Security EDR 1:1TE,CWRECE-AA,846.46,CWRECE-AA-HA,
I,5001-10000,Cloud Workload Security EDR 1:1TE,CWRECE-AA,797.63,CWRECE-AA-IA,
J,10001-+,Cloud Workload Security EDR 1:1TE,CWRECE-AA,748.8,CWRECE-AA-JA,
CWSDRU,"Trellix Cloud Workload Security Detect and Respond - Upgrade
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT:  ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT:  Cloud Workload Security for hybrid cloud:  (VMware, OpenStack, AWS and Azure), Endpoint Security for Servers, Endpoint Security Firewall Module, Endpoint Security for Linux, Threat Intelligence Exchange (TIE), MOVE Enterprise (includes:  MOVE AV Agentless and Multi-Platform), Network Visibility and Micro-Segmentation based firewall, Application Control for Servers, Change Control for Servers.  Trellix EDR Guided investigations utilizing 30-days of historical endpoint data.  EDR is hosted in the North America data center and is a SaaS service with email and agent download.",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-25,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,1627.8,CWRECE-DA-AA,
B,26-50,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,1383.64,CWRECE-DA-BA,
C,51-100,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,1237.14,CWRECE-DA-CA,
D,101-250,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,1106.93,CWRECE-DA-DA,
E,251-500,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,1058.1,CWRECE-DA-EA,
F,501-1000,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,992.97,CWRECE-DA-FA,
G,1001-2000,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,927.84,CWRECE-DA-GA,
H,2001-5000,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,846.46,CWRECE-DA-HA,
I,5001-10000,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,797.63,CWRECE-DA-IA,
J,10001-+,Cloud Work Security EDR UPGD 1:1TE,CWRECE-DA,748.8,CWRECE-DA-JA,
,Server Security Suites,,,,,
CWSB,"Trellix Cloud Workload Security - Basic
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT: ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT: Cloud Workload Security for hybrid cloud (VMware, OpenStack, Citrix Xen, Hyper-V, AWS and Azure), Endpoint Security (ENS) for Servers, Endpoint Security (ENS) Firewall Module, Endpoint Security (ENS) for Linux, MOVE Enterprise  (includes: MOVE AV Agentless and Multi-Platform).",,,,,
,Standard Offering,,,,,
,ProtectPLUS Perpetual License with 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,416.35,CWBCDE-AB-AA,
B,26-50,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,353.9,CWBCDE-AB-BA,
C,51-100,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,316.47,CWBCDE-AB-CA,
D,101-250,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,283.12,CWBCDE-AB-DA,
E,251-500,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,270.63,CWBCDE-AB-EA,
F,501-1000,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,253.94,CWBCDE-AB-FA,
G,1001-2000,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,237.32,CWBCDE-AB-GA,
H,2001-5000,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,216.51,CWBCDE-AB-HA,
I,5001-10000,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,204.0,CWBCDE-AB-IA,
J,10001-+,Cloud Workload Sec Basic P:1TE[P+],CWBCDE-AB,191.52,CWBCDE-AB-JA,
,ProtectPLUS 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,183.18,CWBYFM-AB-AA,
B,26-50,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,155.71,CWBYFM-AB-BA,
C,51-100,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,139.23,CWBYFM-AB-CA,
D,101-250,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,124.58,CWBYFM-AB-DA,
E,251-500,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,119.06,CWBYFM-AB-EA,
F,501-1000,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,111.74,CWBYFM-AB-FA,
G,1001-2000,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,104.39,CWBYFM-AB-GA,
H,2001-5000,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,95.27,CWBYFM-AB-HA,
I,5001-10000,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,89.75,CWBYFM-AB-IA,
J,10001-+,Cloud Workload Sec Basic 1YrTE[P+],CWBYFM-AB,84.29,CWBYFM-AB-JA,
CWSB-S,"Trellix Cloud Workload Security - Basic Subscription
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT: ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT: Cloud Workload Security for hybrid cloud (VMware, OpenStack, Citrix Xen, Hyper-V, AWS and Azure), Endpoint Security (ENS) for Servers, Endpoint Security (ENS) Firewall Module, Endpoint Security (ENS) for Linux, MOVE Enterprise  (includes: MOVE AV Agentless and Multi-Platform).",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,253.32,CWBECE-AB-AA,
B,26-50,Cloud Workload Sec Basic 1:1TE [P+],CWBECE-AB,215.32,CWBECE-AB-BA,
