Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
,,,,,,Private Global Threat Intelligence (pGTI)
,Trellix Thrive Success Packages,,,,PGTI,Trellix Private Global Threat Intelligence
THRIVE-ADV,Thrive Advanced,,,,PGTI-LTE,Trellix Private Global Threat Intelligence Lite
THRIVE-ELITE,Thrive Elite,,,,,Threat Intelligence
THRIVE-FLEX,Thrive Flex Credits,,,,TIG-INTAAS-LG,Trellix Threat Intelligence-as-a-Service Large - Upfront Billing
THRIVE-FLEX-ADDON,Thrive Flex Credits Add-On,,,,TIG-INTAAS-MD,Trellix Threat Intelligence-as-a-Service Medium - Upfront Billing
THRIVE-ESS-DG,Thrive Essential Downgrade,,,,TIG-INTAAS-SM,Trellix Threat Intelligence-as-a-Service Small - Upfront Billing
,Trellix Thrive Success Packages - For Legacy CSP,,,,TIG-QTE-UB,Trellix Tailored Threat Intelligence Services Upfront Billing
THRIVE-ADV-CSP,Thrive Advanced for Legacy CSP,,,,TIG-QTE-MB,Trellix Tailored Threat Intelligence Services Monthly Billing
THRIVE-ELITE-CSP,Thrive Elite for Legacy CSP,,,,TIG-THREAT-REPORTS,Trellix Threat Reports - Upfront Billing
,Consulting Services: Solution Services,,,,,Advanced Threat Landscape Analysis System (ATLAS)
CONS-DY,Custom Consulting Daily,,,,TIG-ATLAS,Trellix Advanced Threat Landscape Analysis System (ATLAS) - Upfront Billing
CONS-DY-PP,Custom Consulting Daily - Prepaid,,,,TIG-ATLAS-PH,Trellix Advanced Threat Landscape Analysis System (ATLAS) - Private Hosting - Upfront Billing
ASSESS-HR,Assessment Consulting,,,,TIG-ATLAS-OP,Trellix Advanced Threat Landscape Analysis System (ATLAS) - On Premises - Upfont Billing
CONS-HR-MT,Midterm Hourly Consulting,,,,TIG-ATLAS-DO,Trellix Advanced Threat Landscape Analysis System (ATLAS) - Data Only
TS-ONSITE-DAY,Daily Onsite Assistance,,,,,TIG Resident Analyst
TS-REMOTE-COREPP,Remote Assistance Core - Prepaid,,,,TIG-RESIDENT-ANALYST-UB,Trellix Resident Analyst - Upfront Billing
DEPLOY,Deployment Consulting,,,,TIG-RESIDENT-ANALYST-MB,Trellix Resident Analyst - Monthy Billing
DEPLOY-PP,Deployment Consulting - Prepaid,,,,,Managed Security Services
DEPLOY-REMLOC,Deployment Consulting - Remote Location,,,,HWA-MSP-RS4-PP,Health Watch - Managed Security Service Provider Prepaid
DEPLOY-REMLOC-PP,Deployment Consulting - Remote Location - Prepaid,,,,,Education Services: Instructor-led Training
CONS-HR,Custom Consulting Hourly,,,,TRN-VOUCHER,"Training Voucher, Prepaid"
CONS-HR-PP,Custom Consulting Hourly - Prepaid,,,,FS-TRN-OS-4DY,Foundstone 4 day Foundstone PS Onsite Course
CONS-VOUCHER,Consulting Voucher,,,,FS-TRN-OS-4DY-ST,Foundstone 4 day Foundstone PS ADDITIONAL STUDENT
CONS-HR-LT,Longterm Hourly Consulting,,,,FS-TRN-CL-4DY,Foundstone 4 day Foundstone PS PUBLIC COURSE Prepaid
CONS-PM-DY,Program/Project Management Consulting Daily,,,,TRN-IL-PRI-1DPP,"Instructor-Led Training - 1 Day Private Class, Virtual, Prepaid"
CONS-PM-HR,Program/Project Management Consulting Hourly,,,,TRN-IL-PRI-1D,"Instructor-Led Training - 1 Day Private Class, Virtual, Invoice on delivery"
CONS-SA-DY,Security Architect Consulting Daily,,,,TRN-IL-PUB-1DPP,"Instructor-Led Training - 1 Day Public Class, Virtual, Prepaid"
CONS-SA-HR,Security Architect Consulting Hourly,,,,TRN-IL-PRI-1DASPP,"Instructor-Led Training - Additional Student, 1 Day Private Class, Prepaid​"
CONS-SS-DY-CMBO,Solution Services Daily Consulting and Travel Combo,,,,TRN-IL-PRI-2DASPP,"Instructor-Led Training - Additional Student, 2 Days Private Class, Prepaid​"
RESIDENT1DAY-UB,1 Day/Week Resident - 1 year Subscription Upfront Billing,,,,TRN-IL-PRI-3DASPP,"Instructor-Led Training - Additional Student, 3 Days Private Class, Prepaid​"
RESIDENT1DAY-MB,1 Day/Week Resident - 1 year Subscription Monthly Billing,,,,TRN-IL-PRI-4DASPP,"Instructor-Led Training - Additional Student, 4 Days Private Class, Prepaid​"
RESIDENT2DAY-UB,2 Day/Week Resident - 1 year Subscription Upfront Billing,,,,TRN-IL-PRI-5DASPP,"Instructor-Led Training - Additional Student, 5 Days Private Class, Prepaid​"
RESIDENT2DAY-MB,2 Day/Week Resident - 1 year Subscription Monthly Billing,,,,TRN-IL-PRI-1DAS,"Instructor-Led Training - Additional Student, 1 Day Private Class, Invoice on delivery​"
RESIDENT3DAY-UB,3 Day/Week Resident - 1 year Subscription Upfront Billing,,,,TRN-IL-PRI-2DAS,"Instructor-Led Training - Additional Student, 2 Days Private Class, Invoice on delivery​"
RESIDENT3DAY-MB,3 Days/Week Resident - 1 year Subscription Monthly Billing,,,,TRN-IL-PRI-3DAS,"Instructor-Led Training - Additional Student, 3 Days Private Class, Invoice on delivery​"
RESIDENT4DAY-UB,4 Day/Week Resident - 1 year Subscription Upfront Billing,,,,TRN-IL-PRI-4DAS,"Instructor-Led Training - Additional Student, 4 Days Private Class, Invoice on delivery​"
RESIDENT4DAY-MB,4 Day/Week Resident - 1 year Subscription Monthly Billing,,,,TRN-IL-PRI-5DAS,"Instructor-Led Training - Additional Student, 5 Days Private Class, Invoice on delivery​"
MAXRESIDENT-UB,Max Resident - 1 year Subscription Upfront Billing,,,,TRN-TRAVEL,Training Travel
MAXRESIDENT-MB,Max Resident - 1 year Subscription Monthly Billing,,,,,Education Services:  Custom Training
XPERTSVCSL1-UB,Expert Services - 1 year Subscription Upfront Billing,,,,TRN-CUSTOM-HRPP,"Custom Training Hourly, Prepaid"
XPERTSVCSL1-MB,Expert Services - 1 year Subscription Monthly Billing,,,,TRN-CUSTOM-HR,"Custom Training Hourly, Invoice on delivery"
XPERTCUSTOM-UB,Expert Custom Services - 1 year Upfront Billing,,,,,General Consulting
XPERTCUSTOM-MB,Expert Custom Services - 1 year Monthly Billing,,,,CS-DI-HR-L1,D&I T&M Service - Level1
CONS-TRAVEL,Solution Services Travel,,,,CS-DI-HR-L2,D&I T&M Service - Level2
HWA-OHC-RS1-PP,Health Watch - Onsite Prepaid,,,,CS-DI-HR-L3,D&I T&M Service - Level3
HWA-QTR-RS4-PP,Health Watch - Quarterly Prepaid,,,,,Packaged Services
HWA-LTE-RS1-PP,Health Watch - Lite Prepaid,,,,CS-DI-ABPB-2D,Analysis Best Practices - 2 Days
SPE,Support Escalation Management  - Remote Escalation Mgt for VSE to ENS or MVISION migration assistance only,,,,CS-DI-ABPB-3D,Analysis Best Practices - 3 Days
DEPLOY-REMDY-PP,Deployment Consulting - Remote migration assistance for VSE to ENS or MVision Endpoint migrations only,,,,CS-DI-ABPB-4D,Analysis Best Practices - 4 Days
,Consulting Services: Foundstone Services,,,,CS-DI-ABPB-5D,Analysis Best Practices - 5 Days
FS-CTIA,Context Threat Intell Subscription,,,,CS-DI-IVB,Install Validation
FS-CTIB,Context Threat Intell Basic Subscription,,,,,Deployment Services
FS-CONS-HR,Foundstone Consulting Hourly,,,,CS-DI-FIXED,Deployment Fixed Price Service
FS-CONS-HR-D,Foundstone Consulting Hourly D,,,,CS-DI-STAFF-L1,D&I Staff Aug Services L1
FS-TRN-HR,Custom Foundstone Training Development Hourly,,,,CS-DI-STAFF-L2,D&I Staff Aug Services L2
FS-IR-HR-A-PP,Foundstone Consulting Incident Response Hourly A,,,,CS-DI-OS-NT,FireEye Remote Deployment Services
FS-IR-HR,Foundstone Hourly Emergency Incident Response (EIR) Retainers,,,,CS-DI-OS-T,FireEye Remote Deployment Services (Travel Included)
FS-IR-WKSP,IR Readiness Assessment,,,,,Technical Support
FS-TRAVEL,Foundstone Travel,,,,COMPLY-NODE,Out of Compliance Charges- Software Node/User
FS-PCI-50,Foundstone Quarterly External PCI Scan less than 50 live hosts,,,,COMPLY-HW,Out of Compliance Charges- Hardware Device
,Consulting Services: Mandiant Services,,,,MEDIA-RET,Single Media Retention Item/Service Fee
IR-MANDIANT-PP,Mandiant Incident Response (IR) Retainer - Prepaid,,,,NRHDDGEN2,Non-returnable HDD Program - GEN2
,,,,,NRSSDGEN2,Non-returnable SSD Program - GEN2
Trellix Success Services,,,,,,
,Trellix Thrive Success Packages,,,,,
THRIVE-ADV,"Thrive Advanced
Thrive Advanced is a holistic services offering focused on helping customers derive the full value from their investments in solutions and optimize their security operations. Thrive Advanced includes Flex Credits that unlock a menu of adoption focused modular services as well as existing traditional consulting, education, and expert support services. Thrive Advanced additionally provides Advanced Routing for S1 issues, 24/7/365 phone support, live chat and email case submission, Case Prioritization and improved Response SLOs over Thrive Essential. The price of Thrive Advanced is determined based on Trellix software product spend. Flex Credits quantity is determined by the final price of Thrive Advanced.",,,,,
,Standard Offering,,,,,
,Technical Support Service,,,,,
 ,1-1,Thrive Advanced Prepaid,THRIVE-ADV,Call for Quote,THRIVE-ADVA,
THRIVE-ELITE,"Thrive Elite
Thrive Elite is a holistic services offering focused on helping customers derive the full value from their investments in solutions and optimize their security operations. Thrive Elite includes Flex Credits that unlock a menu of adoption focused modular services as well as existing traditional consulting, education, and expert support services. Thrive Elite additionally provides Advanced Routing for all issues, 24/7/365 phone support, live chat and email case submission, Case Prioritization and improved Response SLOs over Thrive Advanced. The price of Thrive Elite is determined based on Trellix software product spend. Flex Credits quantity is determined by the final price of Thrive Elite.",,,,,
,Standard Offering,,,,,
,Technical Support Service,,,,,
 ,1-1,Thrive Elite Prepaid,THRIVE-ELITE,Call for Quote,THRIVE-ELITEA,
THRIVE-FLEX,"Thrive Flex Credits
For systems use in quoting included Flex Credit entitlement Quantity to Thrive Advanced and Thrive Elite packages only.",,,,,
,Standard Offering,,,,,
,General Item,,,,,
 ,1-+,Flex Credits,THRIVE-FLEX,0,THRIVE-FLEXA,
THRIVE-FLEX-ADDON,"Thrive Flex Credits Add-On
Additional Flex Credits available to be used for the Trellix Thrive services menu.  Customers must be Thrive Advanced or Thrive Elite to purchase add-on Flex Credits.",,,,,
,Standard Offering,,,,,
,General Item,,,,,
 ,1-+,Flex Credits Addon Prepaid,THRIVE-FLEX-ADDON,857.91,THRIVE-FLEX-ADDONA,
